k,Chess Dataset BIC
2,-177391.16688968864
3,-183981.2930795318
4,-166602.35592311877
5,-183848.88517169887
6,-191008.71366903788
7,-192802.01511544545
8,-187450.2162093339
9,-184443.99246277436
10,-189881.94613584247
15,-194510.18521294996
20,-200460.8045335753
25,-197683.24532001655
30,-195030.741059346
35,-190475.89444208372
40,-185507.39125884708
