k,BreastCancerData BIC
2,-3731.8446009403538
3,-3895.369078694569
4,-3878.978763029275
5,-3857.9097645333472
6,-3842.884946289097
7,-3824.290841228144
8,-3812.993236753214
9,-3790.151801513147
10,-3767.4012457281383
15,-3658.3867394785457
20,-3547.2252410677493
25,-3432.399558403679
30,-3320.8828190864706
35,-3192.594530609983
40,-3084.939733513752
