,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.14893703460693358,0.01766868118558483,0.001956605911254883,0.0006267851609132119,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5000000000000001,0.5,0.5000000000000001,0.5,0.4999999999999998,0.5,1.2096512918216503e-16,108,0.5,0.5,0.5,0.5,0.5,0.5,0.0
1,0.145151948928833,0.007286653472987672,0.002885246276855469,0.0017444599321258692,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.5000000000000001,0.5,0.5000000000000001,0.5,0.4999999999999998,0.5,1.2096512918216503e-16,108,0.5,0.5,0.5,0.5,0.5,0.5,0.0
2,0.17345423698425294,0.004489401103157675,0.0023813724517822267,0.0016136074981796293,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.5833333333333335,0.5416666666666666,0.5625000000000001,0.5434782608695653,0.9130434782608694,0.6273916221713705,0.1418071895496709,80,0.5638297872340425,0.574468085106383,0.5691489361702127,0.5736842105263157,0.8944444444444445,0.6351150926962796,0.12972020203004495
3,0.1820608139038086,0.03159904747785814,0.003532695770263672,0.00442993660089399,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.5000000000000001,0.5,0.5000000000000001,0.5,0.4999999999999998,0.5,1.2096512918216503e-16,108,0.5,0.5,0.5,0.5,0.5,0.5,0.0
4,0.26708049774169923,0.025577937215073305,0.0016109466552734375,0.00033201871717471665,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.6250000000000001,1.0,0.5000000000000001,0.7821256038647343,0.8695652173913041,0.754591843941577,0.17707760037234174,44,0.6276595744680851,0.9616961844764054,0.5,0.8761540723316672,0.9046783625730995,0.7740376387698515,0.17845652673253937
5,0.19352431297302247,0.008481714019276904,0.0017426013946533203,0.0007023918490295021,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.5000000000000001,0.5,0.5000000000000001,0.5,0.4999999999999998,0.5,1.2096512918216503e-16,108,0.5,0.5,0.5,0.5,0.5,0.5,0.0
6,0.25293259620666503,0.03402081997441419,0.0022887706756591795,0.0014178219837003598,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.5833333333333335,0.925,0.5000000000000001,0.5434782608695653,0.4999999999999998,0.6112032799389778,0.16078759127412393,81,0.5638297872340425,0.8699334363485082,0.5319148936170213,0.5789473684210527,0.5,0.6089250971241249,0.13330630335033214
7,0.20512475967407226,0.051969478047495084,0.0014601707458496093,0.0002276929435704761,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.9472222222222224,1.0,0.9791666666666666,0.9227053140096618,0.8478260869565215,0.9399682529592902,0.05263300866623641,6,0.9224711755616306,0.9530488529656482,0.9639545940805896,0.9916201117318435,0.8105263157894738,0.9283242100258372,0.06292504319923407
8,0.13770537376403807,0.007478854569466409,0.001358938217163086,9.404606940616068e-05,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.5000000000000001,0.5,0.5000000000000001,0.5,0.4999999999999998,0.5,1.2096512918216503e-16,108,0.5,0.5,0.5,0.5,0.5,0.5,0.0
9,0.16611552238464355,0.0034017640166680084,0.0013544082641601563,0.00010150029718813566,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.5722222222222223,0.5,0.5000000000000001,0.8347826086956521,0.8043478260869563,0.6407598101534029,0.1472079183776926,69,0.6436170212765956,0.5,0.5,0.8998823875330785,0.7409356725146199,0.6568870162648588,0.15199611283657166
10,0.19114527702331544,0.007452297366297156,0.0018253326416015625,0.00048093527241505003,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.5000000000000001,0.5,0.5000000000000001,0.5,0.4999999999999998,0.5,1.2096512918216503e-16,108,0.5,0.5,0.5,0.5,0.5,0.5,0.0
11,0.25398707389831543,0.016418050574197,0.0018236160278320313,0.0006673769393347579,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.9472222222222224,1.0,0.9791666666666666,0.6739130434782608,0.9565217391304347,0.91179496143741,0.11992469389542021,15,0.9490669202424818,0.966747890169975,0.959170331629621,0.6526315789473683,0.9356725146198832,0.8926578471218658,0.12046418524883885
12,0.3474896907806396,0.052454094990240605,0.0016085147857666016,0.0005627899643552777,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.5625000000000001,0.6041666666666666,0.5625000000000001,0.5434782608695653,0.5869565217391303,0.5719155225019069,0.021230495304355494,96,0.553191489361702,0.6063829787234042,0.5904255319148936,0.5578947368421052,0.5473684210526315,0.5710526315789474,0.02313713517374035
13,0.43301801681518554,0.08225049562365609,0.001463174819946289,0.00033349671770008834,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.9333333333333333,0.9375,0.7083333333333334,0.9449275362318841,1.0,0.9041449487244683,0.10130537900667692,16,0.9779210745275169,0.9118328776892903,0.7553191489361701,0.944575124963246,0.9619883040935675,0.9103273060419582,0.08054872422819735
14,0.32205801010131835,0.019162950539926126,0.0013062000274658204,7.722327354975539e-05,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.5000000000000001,0.5,0.5000000000000001,0.5,0.4999999999999998,0.5,1.2096512918216503e-16,108,0.5,0.5,0.5,0.5,0.5,0.5,0.0
15,0.06328458786010742,0.007921839151442539,0.0014355182647705078,0.0002363887689013731,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.5000000000000001,0.5,0.5,0.5,0.4999999999999999,0.5,7.00110564282998e-17,108,0.5,0.5,0.5,0.5,0.5,0.5,0.0
16,0.06367778778076172,0.0053772327352612625,0.0012522697448730468,0.00031486191960549266,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 3}",0.5000000000000001,0.5,0.5,0.5,0.4999999999999999,0.5,7.00110564282998e-17,108,0.5,0.5,0.5,0.5,0.5,0.5,0.0
