,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.08230419158935547,0.007318537978920109,0.0015045642852783204,0.000101445981948495,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.9000000000000001,0.9888888888888889,0.9777777777777779,0.8893719806763285,0.9659090909090907,0.9444245724470743,0.04140692693075021,9,0.9555747058124331,0.9416082253655058,0.9444015214548912,0.9608938547486033,0.9391812865497078,0.9483319187862282,0.00842199911845007
1,0.09119553565979004,0.011516491932169194,0.0015350341796875,0.00020930558350371227,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.5833333333333335,0.6666666666666666,0.6666666666666667,0.8893719806763285,0.9659090909090907,0.7527579057804076,0.14626529355417295,128,0.5691489361702128,0.6461428741233805,0.6514620230595507,0.9581005586592178,0.9391812865497078,0.7528071357124139,0.16264018225738433
2,0.09657106399536133,0.017875656782938825,0.0018162727355957031,0.0003568478024082138,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.888888888888889,0.9777777777777779,0.9777777777777779,0.8782608695652174,0.9545454545454544,0.9355057054141722,0.04338270575228059,19,0.9471948175442766,0.9248484488291928,0.9360216331867347,0.9553072625698323,0.9336257309941522,0.9393995786248377,0.010679919180217162
3,0.1072547435760498,0.020070872684693403,0.0017412185668945312,0.0002703017538678353,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.5000000000000001,0.5,0.5000000000000001,0.5,0.4999999999999998,0.5,1.2096512918216503e-16,205,0.5,0.5,0.5,0.5,0.5,0.5,0.0
4,0.1559828281402588,0.029368166069637366,0.0016715526580810547,0.0001190970846451326,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.8777777777777779,0.9777777777777779,0.9791666666666666,0.8782608695652174,0.9545454545454544,0.9335442044395135,0.046219071472391515,25,0.9471948175442766,0.9276417449185783,0.9726019255913468,0.9525139664804468,0.9336257309941522,0.9467156371057601,0.015742357982004955
5,0.1421839714050293,0.03281988529730642,0.001772594451904297,0.00023387345528275646,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.5000000000000001,0.5,0.5000000000000001,0.8033816425120773,0.7712450592885374,0.6134601481378751,0.1408574675868314,169,0.5,0.5,0.5,0.8786239341370184,0.8248538011695907,0.6406955470613218,0.17315304838281198
6,0.3230684757232666,0.2945519009134093,0.0018091678619384765,0.00029564266817879077,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.8847222222222223,0.913888888888889,0.9569444444444445,0.8893719806763285,0.934782608695652,0.9159095403565273,0.02732383452672032,34,0.927790324497801,0.8696659931059074,0.8904077023653869,0.9553072625698323,0.9152046783625732,0.9116751921803001,0.029641158070149366
7,0.35275588035583494,0.17538757078212558,0.001684427261352539,9.250309043517295e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.8444444444444446,0.9444444444444445,0.9777777777777779,0.8782608695652174,0.9886363636363635,0.926492326006056,0.056329011653806334,29,0.9304350410079637,0.9078212290502793,0.9134078212290502,0.9525139664804468,0.9453216374269007,0.9298999390389282,0.017372211931877747
8,0.4971292018890381,0.24811393324123063,0.001784515380859375,0.00031360403548966203,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.5000000000000001,0.5,0.5000000000000001,0.9004830917874396,0.9886363636363635,0.675355223991761,0.21889722827762603,152,0.5,0.5,0.5,0.9671273154954423,0.9508771929824562,0.6836009016955797,0.2249229719333123
9,0.38306641578674316,0.1678961738771446,0.002344226837158203,0.0003864271266519242,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.9666666666666669,0.6541666666666667,0.811111111111111,0.8671497584541062,0.8695652173913041,0.8334246193180213,0.10318610706098663,72,0.9090395815999048,0.6680732200166408,0.7487816474503743,0.8827991767127316,0.907748538011696,0.8232884327582696,0.09764355675254723
10,0.29029369354248047,0.10051832786989122,0.0030588150024414063,0.0017514721463381601,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.9569444444444447,0.5,0.5000000000000001,0.8792270531400965,0.4999999999999998,0.6675924160239568,0.2064780106254517,160,0.935635326280756,0.5,0.5,0.9337253748897382,0.5,0.6738721402340988,0.2129498685508183
