k,BreastCancerData log-likelihood
2,5.549747834865559
3,5.840001259100341
4,5.86722135962239
5,5.887601280567489
6,5.916817722348375
7,5.940815908549284
8,5.975481493267773
9,5.993270132423194
10,6.011191636278994
15,6.107726454791107
20,6.2011223958745605
25,6.2891613424356825
30,6.3820379254688255
35,6.450394699789572
40,6.548917397180869
