k,Chess Dataset log-likelihood
2,57.75786499621718
3,60.406197036035145
4,55.39668136139424
5,61.4496150174221
6,64.2799605740119
7,65.39576074691752
8,64.22878125448159
9,63.81118679704628
10,66.09141260147285
15,70.28438530148651
20,74.8998437023046
25,76.72674666089134
30,78.5936032785478
35,79.85268278547207
40,80.97960364512019
