k,BreastCancerData sse (left)
2,0.8406904425743886
3,0.2727556738700725
4,0.1859941680296506
5,0.13598103748931756
6,0.10705609705897946
7,0.09546025030969638
8,0.08422566446017916
9,0.07392467336713067
10,0.06392336239102023
15,0.036678309524226044
20,0.02547565744596501
25,0.017871025311034787
30,0.013060261773340517
35,0.009934869991596172
40,0.007804589398295829
