k,Chess Dataset sse (left)
2,13.477451722011804
3,12.507372045056186
4,11.981460296156353
5,11.493698321677876
6,10.924227474538958
7,10.388057926101284
8,10.060820555918797
9,9.447208501596169
10,8.70245351662137
15,6.723171342360357
20,5.904085136751354
25,5.443467218291379
30,5.1148670618304894
35,4.802053262213947
40,4.546490068454991
