k,GMM,Kmeans
2,0.9766081871345029,0.9736842105263158
3,0.97953216374269,0.97953216374269
4,0.9824561403508771,0.9824561403508771
5,0.9824561403508771,0.9766081871345029
6,0.9824561403508771,0.9766081871345029
7,0.9824561403508771,0.97953216374269
8,0.9824561403508771,0.9766081871345029
9,0.9824561403508771,0.9824561403508771
10,0.9824561403508771,0.9824561403508771
15,0.9824561403508771,0.9824561403508771
20,0.9824561403508771,0.9824561403508771
25,0.9824561403508771,0.9824561403508771
30,0.9824561403508771,0.9824561403508771
35,0.9824561403508771,0.9824561403508771
40,0.9824561403508771,0.9824561403508771
