k,BreastCancerData BIC
2,1057.8338802490725
3,1076.805976931933
4,1079.1611532861875
5,1091.4243711488139
6,1108.4480072190006
7,1117.216437939415
8,1133.8363295284837
9,1142.8797585412094
10,1159.3673265744808
15,1237.7473472876175
20,1294.5526288498722
25,1325.2924446279794
30,1355.9400713513144
35,1396.6454394003051
40,1454.7091731327869
