k,Chess Dataset BIC
2,6037.7248658174085
3,6053.541725527404
4,6061.076984436542
5,6074.376244564422
6,6088.007270378128
7,6106.096490973536
8,6128.304672658622
9,6147.261817880466
10,6167.903978370167
15,6279.2154398967305
20,6356.051434883068
25,6436.091684798066
30,6525.61794726364
35,6632.592306571545
40,6723.17655973782
