k,BreastCancerData log-likelihood
2,-1.5038886353271337
3,-1.5060343436190526
4,-1.4838863087404954
5,-1.4762237146636512
6,-1.4755207963288544
7,-1.4627488643248
8,-1.4614556762807658
9,-1.449085788563716
10,-1.4475991450287504
15,-1.4342334427731913
20,-1.389325724215173
25,-1.3063105995399804
30,-1.2231606955449452
35,-1.1547150917336173
40,-1.1116472155297321
