k,BreastCancerData sse (left)
2,243.36743348611003
3,112.13670644983897
4,70.20730529393086
5,50.453678312925064
6,33.8680947595124
7,25.7457472645169
8,19.966930334838707
9,15.423453379823936
10,11.381155557863575
15,5.469969396963854
20,2.701726772026058
25,1.7229970222997593
30,1.078310146803776
35,0.6700662782406221
40,0.4829791396177463
