k,Chess Dataset sse (left)
2,1199.8339947113438
3,649.7427472144639
4,367.8398629392019
5,259.88451561342026
6,173.89985459779047
7,136.57821335125007
8,103.64692110394884
9,85.92174355615451
10,69.74345372648538
15,31.136973172977996
20,17.756507990676283
25,11.23816781785272
30,7.311177700513859
35,5.412891847023242
40,4.2106381508233754
