k,Chess Dataset log-likelihood
2,-1.9172353547292453
3,-1.915238529298278
4,-1.9105958250171966
5,-1.9077946546718156
6,-1.9050994797532157
7,-1.9038286482153517
8,-1.9038737786869693
9,-1.902880239362024
10,-1.9024250435731354
15,-1.9027371346216815
20,-1.8920346996190376
25,-1.8823559882357737
30,-1.8757079517887962
35,-1.874634387176429
40,-1.8683243669277585
