k,BreastCancerData BIC
2,-185871.59338606344
3,-174986.57706941653
4,-164216.01367755228
5,-153521.06305745777
6,-142614.7247023068
7,-131733.03670889448
8,-124776.74122301457
9,-114732.73517989849
10,-103800.37512646013
15,-46857.15216842035
20,6527.221558827034
25,59595.90670740945
30,112169.46820545496
35,166309.11691063654
40,219446.69192287326
