,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.10631785392761231,0.017919669103642445,0.001292848587036133,9.714456800162167e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.8847222222222222,0.9361111111111111,0.9680555555555556,0.9236714975845407,0.869565217391304,0.9166779670593552,0.035487187862746204,85,0.8452097943658622,0.9409544752169261,0.9328420301913705,0.938665098500441,0.9517543859649124,0.9218851568479025,0.03882406593385932
1,0.16873550415039062,0.026615837624634653,0.001310110092163086,7.399922770160812e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.8638888888888889,0.8527777777777777,0.8847222222222224,0.9125603864734296,0.869565217391304,0.8766397929203038,0.020669153864547814,187,0.8398906454296922,0.8373647925829073,0.8292523475573517,0.938665098500441,0.9489766081871345,0.8788298984515054,0.05328107738190733
2,0.15040998458862304,0.021538631434634536,0.0014229774475097655,0.00017257767741639778,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.9777777777777779,0.8319444444444445,0.863888888888889,0.9019323671497581,0.869565217391304,0.889097769584993,0.04981329354665041,171,0.9487994769998812,0.8370973493403066,0.8267264947105669,0.90708615113202,0.9201754385964913,0.8879769821558531,0.04783646321144824
3,0.13926382064819337,0.017425447662641914,0.0016271591186523438,0.0006125087614466389,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.9152777777777777,0.8736111111111112,0.8847222222222224,0.9236714975845407,0.7391304347826083,0.8678671568211995,0.06620754086687358,197,0.8824438369190537,0.8880304290978247,0.8740639486508973,0.9281387827109672,0.8442982456140352,0.8833950485985558,0.02698155936263877
4,0.15595297813415526,0.015244140578177327,0.001339864730834961,0.00011858561448024546,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.9666666666666667,0.8944444444444445,0.9680555555555556,0.9777777777777779,0.869565217391304,0.935562159222533,0.04423740403296146,29,0.9594377748722216,0.8902888387020088,0.9513253298466658,0.9544545721846515,0.9517543859649124,0.941452180314092,0.025744303656708576
5,0.19159436225891113,0.02040944702863032,0.0014171123504638672,0.0003307113521285601,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.9472222222222222,0.9361111111111111,0.9472222222222224,0.9019323671497581,0.869565217391304,0.9207619996044861,0.030233013456304747,72,0.9090395815999048,0.9434803280637108,0.9059788422679186,0.888826815642458,0.941228070175439,0.9177107275498863,0.021280244294842814
6,0.17138543128967285,0.024899194803881346,0.0013208389282226562,0.00018531839216384872,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.9777777777777779,0.9361111111111111,0.9680555555555556,0.9342995169082123,0.9565217391304343,0.9546008489420006,0.01722043321605946,5,0.9381611791275407,0.9672827766551765,0.964489480565791,0.9439282563951779,0.9564327485380117,0.9540588882563394,0.01135491567910621
7,0.20123748779296874,0.00807165786290703,0.001282978057861328,2.8311601431559805e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.9569444444444445,0.925,0.9055555555555557,0.9014492753623186,0.869565217391304,0.9119792990931435,0.02872148612510297,97,0.9249970284084156,0.9538511826934506,0.9059788422679186,0.9334019406057041,0.9434210526315789,0.9323300093214136,0.0163430584398825
8,0.17209553718566895,0.01260437165541066,0.0016203880310058593,0.0003435576019789861,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.9777777777777779,0.8736111111111111,0.9472222222222224,0.956038647342995,0.760869565217391,0.9037808641975307,0.07882384882467265,111,0.9462736241530965,0.853322239391418,0.9143587305360751,0.9544545721846515,0.8387426900584797,0.9014303712647441,0.047399922813463745
9,0.22905540466308594,0.01352522125738179,0.0013094425201416015,7.055182429188159e-05,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.9555555555555556,0.9361111111111111,0.9680555555555556,0.956038647342995,0.869565217391304,0.9374044763680538,0.03502838668503872,27,0.9751277784381313,0.9249970284084155,0.92220373231903,0.9411349603057926,0.9384502923976611,0.940382758373806,0.018861146978028397
10,0.26167845726013184,0.01894924345836402,0.0013927936553955079,0.00016938316359268202,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.9777777777777779,0.9361111111111111,0.7708333333333335,0.652173913043478,0.7826086956521736,0.8246445673362148,0.11867040848532263,228,0.9381611791275407,0.9328420301913704,0.6968085106382979,0.6947368421052632,0.8675438596491228,0.826018484342319,0.10921693790697379
