k,Chess Dataset BIC
2,-343505.40966555354
3,-469510.2887226639
4,-472843.09672891366
5,-517433.30792381766
6,-500069.7444510317
7,-498578.79967259447
8,-520017.6841671101
9,-520832.04363707453
10,-501873.13000671344
15,-483747.61257211096
20,-451795.0637978606
25,-410003.29301603854
30,-362006.5582098697
35,-313475.1484225527
40,-257262.48588007689
