k,Chess Dataset sse (left)
2,53157.481446405174
3,50022.54861761688
4,47681.86331763128
5,45537.24610651348
6,43872.652783289755
7,41862.30741607766
8,40057.71160158634
9,38345.810197956096
10,36705.818127517006
15,29813.787231354123
20,26686.38059782739
25,24660.162525079788
30,23152.751724024944
35,21875.097426359534
40,20834.751283355934
