,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.47843403816223146,0.06838605450221603,0.006226253509521484,0.0027306423632243873,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17,261,0.5,0.5,0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,8.599750569898517e-17
1,0.46428990364074707,0.05494384737472201,0.0061032772064208984,0.0018415261709167391,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.498821138211382,0.5,0.5000000000000001,0.5,0.5,0.4997634743759578,0.00047210872623139604,276,0.5210451376973783,0.5,0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5042090275394757,0.008418055078951313
2,0.5789944648742675,0.1187080890113306,0.008278369903564453,0.0016369874158524568,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.5166260162601626,0.5,0.5231901840490798,0.5137316259727427,0.5227282085066085,0.5152425335914446,0.008441495744327515,241,0.5214945684184649,0.5059232664266289,0.5248176899553048,0.5491223905285567,0.5229817279563798,0.524867928657067,0.013871690481053465
3,0.7450753211975097,0.06793517682380536,0.00750889778137207,0.0006425164153602479,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.5,0.5418292682926829,0.598241308793456,0.5428624366945279,0.6224523407584304,0.5609981664291228,0.0437738268587599,225,0.5,0.6255883573115081,0.6117921102962987,0.5228566469089665,0.6293810275025142,0.5779236284038575,0.05508416956643353
4,0.7114263057708741,0.07379184570799188,0.008432483673095703,0.0019189507154430065,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.6030894308943089,0.5438617886178861,0.6251738241308794,0.5405978507020216,0.6278255857042863,0.5880959757434905,0.03843297110432534,177,0.547265771048979,0.566090644158425,0.6137021468094465,0.5934393714294466,0.6510213250422467,0.5943038516977086,0.0363386270316746
5,0.8357336521148682,0.1626765627502963,0.009205102920532227,0.001761146915577227,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.5964634146341462,0.5458130081300813,0.6102453987730062,0.5497179561082061,0.5925392185119611,0.5789558115306137,0.02617070515271195,193,0.5704633105758347,0.5893278769968296,0.6211812054452661,0.6082997656644866,0.642799160680645,0.6064142638726124,0.025019568563684418
6,0.7241693496704101,0.0776249686694569,0.011446619033813476,0.002973864281285577,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.6587398373983739,0.5541463414634147,0.6014314928425358,0.658788652365463,0.5812162885494297,0.6108471942413815,0.04190745251509425,141,0.6073678468811301,0.6243898753886102,0.5941338610863941,0.6379388685525824,0.5786351360320207,0.6084931175881475,0.02106519737614306
7,0.8996081829071045,0.22490799263588937,0.011224746704101562,0.002671947563902154,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.6336991869918698,0.5871951219512195,0.609713701431493,0.6344340593733272,0.5411331164820686,0.6012640002703329,0.03471678165932005,161,0.5841587834896311,0.658820622083822,0.6345131068904504,0.6190758808003144,0.546541636672742,0.608622005987392,0.03937500519820067
8,0.9612629413604736,0.11250729979666393,0.012658166885375976,0.0020733777329892313,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.5,0.6176829268292683,0.5929038854805727,0.6593650924362828,0.588318853707745,0.5915710839468026,0.05232537331000243,173,0.5,0.6578961520535527,0.6273204258844467,0.6446166648797945,0.6212992602349481,0.6102265006105483,0.056603478322413775
9,1.6450181484222413,0.5221929649802449,0.016264915466308594,0.001589252895895005,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.6610975609756097,0.607479674796748,0.6038445807770961,0.6339605550294396,0.6571622678799357,0.6326945217657997,0.023990850616190048,80,0.641297945679063,0.6475643671861796,0.6093093185235188,0.6342566356771988,0.6554132014111184,0.6375682936954157,0.01575950048148309
10,1.9993084907531737,0.30496634068694445,0.02621779441833496,0.004427046521685398,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.6634959349593496,0.6515853658536586,0.6205112474437628,0.6574504879153457,0.6369251039650842,0.646006858512381,0.01549737641835079,64,0.6255601878646022,0.6739591389368339,0.6470779253986274,0.6517935090594414,0.6595561920223818,0.6515893906563773,0.015885779447078245
11,2.3060702800750734,0.5019235113787633,0.034269285202026364,0.0050896891592065036,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.6834959349593496,0.6673983739837398,0.6649079754601227,0.5805574998970642,0.6022357639889653,0.6398265224661915,0.04053386206295797,69,0.6512071888428503,0.652695047811234,0.6782751884467083,0.6252074047980067,0.6596876547558876,0.6534144969309373,0.017078854495347594
12,3.1793963432312013,0.7354729628027731,0.03517727851867676,0.005192533986998536,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.673780487804878,0.6508130081300812,0.6578323108384458,0.6714497467781118,0.6103676864166016,0.6528759809410615,0.022857357246991804,57,0.669522451049184,0.6828133082710618,0.6817142769476238,0.6730126153170676,0.6471757210028947,0.6708476745175663,0.012869063746854257
