k,Chess Dataset log-likelihood
2,118.63165772392945
3,163.3327428302664
4,168.8414729682773
5,187.5314820802991
6,186.42795295983214
7,190.39554802286315
8,201.6889671347609
9,206.39308112699374
10,204.77985547056025
15,221.2086315708858
20,233.21982577356036
25,242.08749856806497
30,248.97275474137257
35,255.687188236997
40,259.94754736995094
