k,BreastCancerData sse (left)
2,1584.777808911514
3,1252.777676179451
4,1067.4623112393224
5,990.9477282573794
6,924.4608475029518
7,881.5971308590313
8,813.4273222419067
9,777.3131028079406
10,740.2790851342918
15,619.7286117329224
20,535.9764777163783
25,455.54939085046726
30,420.1864335515985
35,366.65034852104395
40,335.49206229539834
