k,BreastCancerData log-likelihood
2,303.99563272353384
3,304.2128999561924
4,304.59749602625254
5,305.09263708428017
6,305.2787317460264
7,305.5008649483262
8,311.4618760856149
9,312.9086905017981
10,313.0567417449955
15,310.4615846702691
20,313.06942354699356
25,316.1387954334622
30,319.9320323060958
35,321.435667998706
40,324.40432371024144
