steps,time,reward,delta,converged
1,0.0024989999999434076,0.0,0,False
2,0.017786000000114655,0.0,0,False
3,0.007072999999991225,0.0,0,False
4,0.004631000000017593,0.0,0,False
5,0.006646000000046115,0.0,0,False
6,0.012075999999979103,0.0,0,False
7,0.008722000000034313,0.0,0,False
8,0.008381000000099448,0.0,0,False
9,0.015185999999857813,0.0,0,False
10,0.0354099999999562,0.0,0,False
11,0.00892399999997906,0.0,0,False
12,0.002067000000124608,0.0,0,False
13,0.0003889999998136773,0.0,0,False
14,0.006943999999975858,0.0,0,False
15,0.0020690000001195585,0.0,0,False
16,0.015740000000050713,0.0,0,False
17,0.021985999999969863,0.0,0,False
18,0.004846000000043205,0.0,0,False
19,0.0027029999998831045,0.0,0,False
20,0.012620000000197251,0.0,0,False
21,0.002694000000019514,0.0,0,False
22,0.020054999999956635,0.0,0,False
23,0.003623000000061438,0.0,0,False
24,0.011449999999967986,0.0,0,False
25,0.0022740000001704175,0.0,0,False
26,0.012369999999918946,0.0,0,False
27,0.011019000000032975,0.0,0,False
28,0.011940000000095097,0.0,0,False
29,0.03577399999994668,0.0,0,False
30,0.004090000000132932,0.0,0,False
31,0.008841999999958716,0.0,0,False
32,0.007956000000149288,0.0,0,False
33,0.03528299999993578,0.0,0,False
34,0.0036029999998845597,0.0,0,False
35,0.004838000000063403,0.0,0,False
36,0.006057999999939057,0.0,0,False
37,0.03445000000010623,0.0,0,False
38,0.00965900000005604,0.0,0,False
39,0.030596999999943364,0.0,0,False
40,0.008038999999826046,0.0,0,False
41,0.026469000000133747,0.0,0,False
42,0.008348000000069078,0.0,0,False
43,0.0029039999999440624,0.0,0,False
44,0.007599000000027445,0.0,0,False
45,0.005276999999978216,0.0,0,False
46,0.020535999999992782,0.0,0,False
47,0.03125,0.0,0,False
48,0.011375000000043656,0.0,0,False
49,0.00726699999995617,0.0,0,False
50,0.035682999999835374,0.0,0,False
51,0.006102000000055341,0.0,0,False
52,0.018125999999938358,0.0,0,False
53,0.027072999999973035,0.0,0,False
54,0.006387999999788008,0.0,0,False
55,0.009618999999929656,0.0,0,False
56,0.003067000000100961,0.0,0,False
57,0.025908999999955995,0.0,0,False
58,0.008012000000007902,0.0,0,False
59,0.011897999999973763,0.0,0,False
60,0.012588999999934458,0.0,0,False
61,0.006482000000005428,0.0,0,False
62,0.005141000000094209,0.0,0,False
63,0.023476999999957116,0.0,0,False
64,0.004175999999915803,0.0,0,False
65,0.004997999999886815,0.0,0,False
66,0.02902599999993072,0.0,0,False
67,0.03540899999984504,0.0,0,False
68,0.03294200000004821,0.0,0,False
69,0.00300199999992401,0.0,0,False
70,0.006874000000152591,0.0,0,False
71,0.004862999999886597,0.0,0,False
72,0.00793799999996736,0.0,0,False
73,0.022064999999884094,0.0,0,False
74,0.011606000000028871,0.0,0,False
75,0.0026790000001710723,0.0,0,False
76,0.022459000000026208,0.0,0,False
77,0.03534199999990051,0.0,0,False
78,0.009641000000101485,0.0,0,False
79,0.0073919999999816355,0.0,0,False
80,0.014830999999958294,0.0,0,False
81,0.006296000000020285,0.0,0,False
82,0.026318000000173924,0.0,0,False
83,0.021996999999828404,0.0,0,False
84,0.015398999999888474,0.0,0,False
85,0.005771000000095228,0.0,0,False
86,0.009747000000061234,0.0,0,False
87,0.00856300000009469,0.0,0,False
88,0.015135999999984051,0.0,0,False
89,0.013077000000066619,0.0,0,False
90,0.011330000000043583,0.0,0,False
91,0.015461999999843101,0.0,0,False
92,0.03498899999999594,0.0,0,False
93,0.03604200000017954,0.0,0,False
94,0.003058000000009997,0.0,0,False
95,0.00507700000002842,0.0,0,False
96,0.006198000000040338,0.0,0,False
97,0.01219800000012583,0.0,0,False
98,0.008398000000170214,0.0,0,False
99,0.011007000000063272,0.0,0,False
100,0.00774800000021969,0.0,0,False
101,0.011772000000064509,0.0,0,False
102,0.0043009999999412685,0.0,0,False
103,0.014930999999933192,0.0,0,False
104,0.009373999999979787,0.0,0,False
105,0.006660000000010768,0.0,0,False
106,0.041278000000147586,0.0,0,False
107,0.006268999999974767,0.0,0,False
108,0.007100000000036744,0.0,0,False
109,0.009727999999995518,0.0,0,False
110,0.01940100000001621,0.0,0,False
111,0.011608000000023821,0.0,0,False
