episode,length,time,reward,delta
0,500.0,0.035752000000002226,-3570.0,-0.7846114578081179
1,500.0,0.034407999999984895,-1887.0,-0.9094803880389497
2,500.0,0.03400800000000004,-2382.0,-0.5872329237408467
3,500.0,0.03707400000001826,-3372.0,-0.3055716941140578
4,500.0,0.035505000000000564,-2382.0,-0.5059133464591481
5,225.0,0.015394999999983838,-1313.0,100.00024198132199
6,368.0,0.026240000000001373,-1555.0,90.00021778318978
7,374.0,0.025452999999998838,-1858.0,81.00019600487082
8,441.0,0.03035099999999602,-2321.0,72.90017640438373
9,180.0,0.012259000000000242,-476.0,65.61015876394535
10,157.0,0.010680000000007794,-552.0,59.04914288755082
11,248.0,0.016886999999996988,-742.0,53.14422859879574
12,65.0,0.005149999999986221,-163.0,47.829805738916164
13,84.0,0.00634700000000521,-479.0,43.04682516502455
14,36.0,0.0028100000000108594,-35.0,38.7421426485221
15,20.0,0.0016210000000000946,80.0,34.86792838366989
16,75.0,0.005737000000010539,-173.0,31.381135545302897
17,101.0,0.0075730000000078235,-298.0,28.243021990772604
18,38.0,0.002719999999982292,62.0,25.418719791695338
19,170.0,0.011676999999991722,-862.0,22.87684781252581
20,153.0,0.010330000000010386,-647.0,20.58916303127323
21,53.0,0.00362400000000207,-52.0,18.53024672814591
22,123.0,0.008300000000019736,-320.0,16.677222055331328
23,36.0,0.002567999999996573,-134.0,15.009499849798189
24,66.0,0.005002999999987878,-164.0,13.508549864818377
25,115.0,0.008597000000008848,-1104.0,12.157694878336542
26,106.0,0.007891999999998234,-402.0,10.941925390502888
27,64.0,0.0045939999999973224,-261.0,9.847732851452605
28,48.0,0.003803000000004886,-146.0,8.862959566307339
29,35.0,0.002476000000001477,-34.0,7.976663609676606
30,120.0,0.008309999999994488,-812.0,7.178997248708953
31,56.0,0.0038549999999872853,-55.0,6.461097523838063
32,22.0,0.0015719999999816991,78.0,5.8149877714542555
33,69.0,0.004739000000000715,-68.0,5.2334889943088285
34,31.0,0.002179999999981419,-30.0,4.710140094877943
35,43.0,0.0029710000000022774,57.0,4.239126085390154
36,14.0,0.0012490000000013879,86.0,3.8152134768511416
37,40.0,0.002888999999981934,-39.0,3.433692129166033
38,44.0,0.003058000000009997,-142.0,3.090322916249434
39,21.0,0.0014879999999948268,79.0,2.7812906246244893
40,31.0,0.00219100000001049,69.0,2.5031615621620347
41,24.0,0.0016889999999989413,-23.0,2.252845405945834
42,43.0,0.0029659999999864795,-42.0,2.027560865351248
43,54.0,0.0037130000000047403,-152.0,1.824804778816116
44,20.0,0.0014270000000067284,80.0,1.6423243009345043
45,82.0,0.005583999999998923,-180.0,1.4780918708410553
