steps,time,reward,delta,converged
1,0.017982999999958338,0.0,0,False
2,0.029894000000012966,0.0,0,False
3,0.0017139999999926658,0.0,0,False
4,0.009731999999985419,0.0,0,False
5,0.007334999999898173,0.0,0,False
6,0.006108000000040192,0.0,0,False
7,0.0021990000000187138,0.0,0,False
8,0.006003999999961707,0.0,0,False
9,0.018232000000011794,0.0,0,False
10,0.006461999999942236,0.0,0,False
11,0.014628000000016073,0.0,0,False
12,0.002629999999953725,0.0,0,False
13,0.006078000000002248,0.0,0,False
14,0.0054639999999608335,0.0,0,False
15,0.03309999999999036,0.0,0,False
16,0.0038379999999733627,0.0,0,False
17,0.012850999999955093,0.0,0,False
18,0.009738999999967746,0.0,0,False
19,0.02541899999994257,0.0,0,False
20,0.022282000000018343,0.0,0,False
21,0.019126000000028398,0.0,0,False
22,0.04095999999992728,0.0,0,False
23,0.023906000000010863,0.0,0,False
24,0.006925999999907617,0.0,0,False
25,0.014360000000010587,0.0,0,False
26,0.010671000000002095,0.0,0,False
27,0.031288000000017746,0.0,0,False
28,0.042190999999888845,0.0,0,False
29,0.01916700000003857,0.0,0,False
30,0.039731000000074346,0.0,0,False
31,0.004624999999919055,0.0,0,False
32,0.012812999999937347,0.0,0,False
33,0.025927000000024236,0.0,0,False
34,0.01433899999994992,0.0,0,False
35,0.00922400000001744,0.0,0,False
36,0.023159000000077867,0.0,0,False
37,0.025794999999902757,0.0,0,False
38,0.039798000000018874,0.0,0,False
39,0.03397399999994377,0.0,0,False
40,0.002216999999973268,0.0,0,False
41,0.03931199999999535,0.0,0,False
42,0.018651999999974578,0.0,0,False
43,0.012806000000068707,0.0,0,False
44,0.002807000000075277,0.0,0,False
45,0.03373799999997118,0.0,0,False
46,0.04126700000006167,0.0,0,False
47,0.041800999999964006,0.0,0,False
48,0.013704999999959,0.0,0,False
49,0.04148799999995845,0.0,0,False
50,0.02680499999996755,0.0,0,False
51,0.023096000000009553,0.0,0,False
52,0.02390900000000329,0.0,0,False
53,0.04085399999996753,0.0,0,False
54,0.03958599999998569,0.0,0,False
55,0.04058800000007068,0.0,0,False
56,0.04132300000003397,0.0,0,False
57,0.004127000000039516,0.0,0,False
58,0.020317999999974745,0.0,0,False
59,0.013210999999955675,0.0,0,False
60,0.024738999999954103,0.0,0,False
61,0.04142300000000887,0.0,0,False
62,0.04289599999992788,0.0,0,False
63,0.014466999999967811,0.0,0,False
64,0.006784999999922547,0.0,0,False
65,0.03861800000004223,0.0,0,False
66,0.04190999999991618,0.0,0,False
67,0.013488999999935913,0.0,0,False
68,0.04393500000003314,0.0,0,False
69,0.02489900000000489,0.0,0,False
70,0.013296000000082131,0.0,0,False
71,0.026534000000083324,0.0,0,False
72,0.0469229999999925,0.0,0,False
73,0.041618999999968764,0.0,0,False
74,0.017188000000032844,0.0,0,False
75,0.04064800000003288,0.0,0,False
76,0.04591899999991256,0.0,0,False
77,0.009597999999982676,0.0,0,False
78,0.02320499999996173,0.0,0,False
79,0.04574400000001333,0.0,0,False
80,0.04122000000006665,0.0,0,False
81,0.028316000000017993,0.0,0,False
82,0.041355999999950654,0.0,0,False
83,0.03404499999999189,0.0,0,False
84,0.022062000000005355,0.0,0,False
85,0.04002700000000914,0.0,0,False
86,0.0426399999998921,0.0,0,False
87,0.038584000000014385,0.0,0,False
88,0.040947999999957574,0.0,0,False
89,0.04093800000009651,0.0,0,False
90,0.043344000000047345,0.0,0,False
91,0.04045799999994415,0.0,0,False
92,0.04305799999997362,0.0,0,False
93,0.03837600000008479,0.0,0,False
94,0.042975000000069485,0.0,0,False
95,0.04161999999996624,0.0,0,False
96,0.039389999999912106,0.0,0,False
97,0.040787000000023,0.0,0,False
98,0.04259899999999561,0.0,0,False
99,0.0434659999999667,0.0,0,False
100,0.04365199999995184,0.0,0,False
101,0.054845000000000255,0.0,0,False
102,0.053231000000096174,0.0,0,False
103,0.05580200000008517,0.0,0,False
104,0.056713000000058855,0.0,0,False
105,0.05122300000004998,0.0,0,False
106,0.0052850000000717046,0.0,0,False
107,0.046010000000023865,0.0,0,False
108,0.05473399999993944,0.0,0,False
109,0.04510600000003251,0.0,0,False
110,0.04545199999995475,0.0,0,False
111,0.04253700000003846,0.0,0,False
112,0.03862000000003718,0.0,0,False
113,0.03702900000007503,0.0,0,False
114,0.04122400000005655,0.0,0,False
115,0.01560400000005302,0.0,0,False
116,0.040858999999954904,0.0,0,False
117,0.04101700000001074,0.0,0,False
118,0.041442999999958374,0.0,0,False
119,0.04153099999996357,0.0,0,False
120,0.04104399999994257,0.0,0,False
121,0.039891000000011445,0.0,0,False
122,0.03978699999993296,0.0,0,False
123,0.03964399999995294,0.0,0,False
124,0.0443400000000338,0.0,0,False
125,0.04142899999999372,0.0,0,False
126,0.04764599999998609,0.0,0,False
127,0.044642999999950916,0.0,0,False
128,0.041637999999920794,0.0,0,False
129,0.044349000000011074,0.0,0,False
130,0.044431999999915206,0.0,0,False
131,0.044638999999961015,0.0,0,False
132,0.045372000000043045,0.0,0,False
133,0.043478999999933876,0.0,0,False
134,0.04100099999993745,0.0,0,False
135,0.04014499999993859,0.0,0,False
136,0.04108799999994517,0.0,0,False
137,0.042011999999999716,0.0,0,False
138,0.04323599999997896,0.0,0,False
139,0.04421999999999571,0.0,0,False
140,0.043737999999962085,0.0,0,False
141,0.041604000000006636,0.0,0,False
142,0.04128400000001875,0.0,0,False
143,0.04359999999996944,0.0,0,False
144,0.041741000000001804,0.0,0,False
145,0.04448899999999867,0.0,0,False
146,0.0433620000000019,0.0,0,False
147,0.04189599999995153,0.0,0,False
148,0.044334999999932734,0.0,0,False
149,0.042143000000010034,0.0,0,False
150,0.04321899999990819,0.0,0,False
151,0.04237100000000282,0.0,0,False
152,0.043478999999933876,0.0,0,False
153,0.04108099999996284,0.0,0,False
154,0.04602799999997842,0.0,0,False
155,0.05667700000003606,0.0,0,False
156,0.046870000000012624,0.0,0,False
157,0.044390000000021246,0.0,0,False
158,0.04141500000002907,0.0,0,False
