steps,time,reward,delta,converged
1,0.003931999999849722,0.0,0,False
2,0.030244000000038795,0.0,0,False
3,0.011931000000004133,0.0,0,False
4,0.05079099999989012,0.0,0,False
5,0.010948000000098546,0.0,0,False
6,0.00857599999994818,0.0,0,False
7,0.01187900000013542,0.0,0,False
8,0.01604100000008657,0.0,0,False
9,0.014914999999973588,0.0,0,False
10,0.008869000000004235,0.0,0,False
11,0.01657999999997628,0.0,0,False
12,0.011583999999857042,0.0,0,False
13,0.014299000000164597,0.0,0,False
14,0.02930300000002717,0.0,0,False
15,0.016676999999845066,0.0,0,False
16,0.019127000000025873,0.0,0,False
17,0.015190000000075088,0.0,0,False
18,0.013025000000197906,0.0,0,False
19,0.008087000000159605,0.0,0,False
20,0.018716000000040367,0.0,0,False
21,0.03808000000003631,0.0,0,False
22,0.00447600000006787,0.0,0,False
23,0.009951000000000931,0.0,0,False
24,0.015501999999969485,0.0,0,False
25,0.03932700000018485,0.0,0,False
26,0.01287000000002081,0.0,0,False
27,0.002838999999994485,0.0,0,False
28,0.0076730000000679865,0.0,0,False
29,0.02151699999990342,0.0,0,False
30,0.025754000000006272,0.0,0,False
31,0.012471000000005006,0.0,0,False
32,0.007971999999881518,0.0,0,False
33,0.014909999999872525,0.0,0,False
34,0.015918999999939842,0.0,0,False
35,0.04299100000002909,0.0,0,False
36,0.005572999999913009,0.0,0,False
37,0.02437000000008993,0.0,0,False
38,0.00966599999992468,0.0,0,False
39,0.016286000000036438,0.0,0,False
40,0.021878000000015163,0.0,0,False
41,0.01487900000006448,0.0,0,False
42,0.01643300000000636,0.0,0,False
43,0.0040380000000368454,0.0,0,False
44,0.015953999999965163,0.0,0,False
45,0.019041999999899417,0.0,0,False
46,0.03545699999995122,0.0,0,False
47,0.011764999999968495,0.0,0,False
48,0.009729999999990468,0.0,0,False
49,0.0038090000000465807,0.0,0,False
50,0.006945999999970809,0.0,0,False
51,0.01657500000010259,0.0,0,False
52,0.01697799999988092,0.0,0,False
53,0.01018700000008721,0.0,0,False
54,0.0035279999999602296,0.0,0,False
55,0.0039340000000720465,0.0,0,False
56,0.007499000000052547,0.0,0,False
57,0.01188400000000911,0.0,0,False
58,0.004995000000008076,0.0,0,False
59,0.05180799999993724,0.0,0,False
60,0.023456000000123822,0.0,0,False
61,0.027556000000004133,0.0,0,False
62,0.013394000000062078,0.0,0,False
63,0.05845499999986714,0.0,0,False
64,0.008905000000140717,0.0,0,False
65,0.026622999999972308,0.0,0,False
66,0.05666299999984403,0.0,0,False
67,0.023079999999936263,0.0,0,False
68,0.04372400000011112,0.0,0,False
69,0.011556999999811524,0.0,0,False
70,0.017150000000128784,0.0,0,False
71,0.026990000000068903,0.0,0,False
72,0.023267999999916356,0.0,0,False
73,0.010385000000042055,0.0,0,False
74,0.013181000000031418,0.0,0,False
75,0.06883399999992434,0.0,0,False
76,0.00916800000004514,0.0,0,False
77,0.0039430000001630106,0.0,0,False
78,0.014492000000018379,0.0,0,False
79,0.03314399999999296,0.0,0,False
80,0.01900599999999031,0.0,0,False
81,0.014906000000109998,0.0,0,False
82,0.006997000000183107,0.0,0,False
83,0.01750199999992219,0.0,0,False
84,0.01318900000001122,0.0,0,False
85,0.032614999999850625,0.0,0,False
86,0.008413999999902444,0.0,0,False
87,0.008792999999968742,0.0,0,False
88,0.008602999999993699,0.0,0,False
89,0.017769999999927677,0.0,0,False
90,0.005020999999942433,0.0,0,False
91,0.02493699999990895,0.0,0,False
92,0.01665200000002187,0.0,0,False
93,0.017683000000033644,0.0,0,False
94,0.01089600000000246,0.0,0,False
95,0.005121000000144704,0.0,0,False
96,0.012620999999853666,0.0,0,False
97,0.021318000000064785,0.0,0,False
98,0.01609199999984412,0.0,0,False
99,0.0070160000000214495,0.0,0,False
100,0.011475000000018554,0.0,0,False
101,0.03441799999995965,0.0,0,False
102,0.003792999999859603,0.0,0,False
103,0.005835000000161017,0.0,0,False
104,0.005210000000033688,0.0,0,False
105,0.03435699999999997,0.0,0,False
106,0.015016000000059648,0.0,0,False
107,0.010635999999976775,0.0,0,False
108,0.012598000000025422,0.0,0,False
109,0.0052339999999730935,0.0,0,False
110,0.005606999999827167,0.0,0,False
111,0.018665000000055443,0.0,0,False
112,0.026012000000037006,0.0,0,False
113,0.017933999999968364,0.0,0,False
114,0.022706999999854816,0.0,0,False
115,0.014362000000119224,0.0,0,False
116,0.017346999999972468,0.0,0,False
117,0.003746999999975742,0.0,0,False
