episode,length,time,reward,delta
0,500.0,0.11350199999992583,-3372.0,-0.5659034869166959
1,500.0,0.10822700000005625,-2877.0,-0.22929391714770464
2,215.0,0.04158899999993082,-907.0,99.99997255201068
3,192.0,0.03325100000006387,-389.0,9.999997255201066
4,82.0,0.016671999999971376,-378.0,0.9999997255201123
5,52.0,0.011334999999917272,-150.0,0.09999997255201265
6,115.0,0.02543100000002596,-411.0,0.00999999725520695
7,143.0,0.018482000000062726,-1033.0,0.000999999725522116
8,44.0,0.00490100000001803,-43.0,9.999997254794835e-05
9,37.0,0.0036460000000033688,-36.0,9.999997260479176e-06
10,16.0,0.001594000000068263,84.0,9.999997274690031e-07
11,19.0,0.0018760000000384025,81.0,9.999996564147295e-08
12,57.0,0.007508000000029824,-56.0,9.999993721976352e-09
13,23.0,0.003478999999970256,77.0,1.0000036354540498e-09
14,47.0,0.004425999999966734,-46.0,1.000017846308765e-10
15,101.0,0.011679999999955726,-397.0,1.000444171950221e-11
16,16.0,0.001602000000048065,84.0,9.947598300641403e-13
17,23.0,0.0027959999999893625,77.0,9.947598300641403e-14
18,15.0,0.003227999999921849,85.0,1.4210854715202004e-14
19,46.0,0.004215000000044711,-45.0,0.0
20,135.0,0.009866999999985637,-728.0,0.0
21,15.0,0.0024829999999838037,85.0,0.0
22,25.0,0.0036499999999932697,75.0,0.0
23,31.0,0.002806000000077802,-129.0,0.0
24,57.0,0.004755000000045584,-254.0,0.0
25,18.0,0.0013290000000552027,82.0,0.0
26,18.0,0.0015090000000554937,82.0,0.0
27,14.0,0.0010590000000547661,86.0,0.0
28,15.0,0.0015459999999620777,85.0,0.0
29,23.0,0.0023979999999710344,77.0,0.0
30,30.0,0.002642999999920903,-128.0,0.0
31,21.0,0.0015839999999798238,79.0,0.0
32,16.0,0.0011929999999438223,84.0,0.0
33,26.0,0.0024359999999887805,74.0,0.0
34,46.0,0.003933000000074571,-45.0,0.0
35,16.0,0.0015070000000605432,84.0,0.0
36,20.0,0.0017910000000256332,80.0,0.0
37,16.0,0.0012070000000221626,84.0,0.0
38,17.0,0.001237999999943895,83.0,0.0
39,31.0,0.002161999999998443,-30.0,0.0
40,20.0,0.0017650000000912769,80.0,0.0
41,76.0,0.0055770000000165965,-372.0,0.0
42,31.0,0.002510000000029322,-30.0,0.0
43,18.0,0.0013080000001082226,82.0,0.0
44,18.0,0.0018479999999954089,-17.0,0.0
45,16.0,0.0015820000000985601,84.0,0.0
46,36.0,0.0028340000000071086,-35.0,0.0
47,34.0,0.002772999999933745,-33.0,0.0
48,24.0,0.0018420000000105574,76.0,0.0
49,18.0,0.0013130000000955988,-17.0,0.0
50,17.0,0.0013359999999238426,83.0,0.0
51,18.0,0.0014580000000705695,82.0,0.0
52,18.0,0.0014949999999771535,82.0,0.0
53,82.0,0.00595700000008037,-279.0,0.0
54,21.0,0.0016279999999824213,79.0,0.0
55,20.0,0.0014360000000124273,80.0,0.0
56,14.0,0.0010389999999915744,86.0,0.0
57,17.0,0.0012239999999792417,83.0,0.0
58,18.0,0.001421999999934087,82.0,0.0
59,17.0,0.001652000000035514,-16.0,0.0
60,15.0,0.0011009999999487263,85.0,0.0
61,29.0,0.0021090000000185682,-28.0,0.0
62,15.0,0.0011359999999740467,85.0,0.0
63,14.0,0.0010620000000471919,86.0,0.0
64,31.0,0.0024439999999685824,-30.0,0.0
65,15.0,0.0011269999999967695,85.0,0.0
66,17.0,0.001272000000085427,83.0,0.0
67,22.0,0.0016380000000708606,78.0,0.0
68,21.0,0.0018230000000585278,79.0,0.0
69,18.0,0.0013099999999894862,82.0,0.0
70,37.0,0.002567999999996573,-36.0,0.0
71,60.0,0.004473999999959233,-158.0,0.0
72,17.0,0.0017050000000153887,-16.0,0.0
73,30.0,0.0035779999999476786,-29.0,0.0
74,66.0,0.005483999999910338,-263.0,0.0
75,20.0,0.002086999999960426,80.0,0.0
76,18.0,0.0015690000000176951,82.0,0.0
77,34.0,0.0026590000001078806,-132.0,0.0
78,16.0,0.0014770000000225991,-15.0,0.0
79,26.0,0.0019009999999752836,74.0,0.0
80,39.0,0.002743000000009488,-38.0,0.0
81,34.0,0.00255600000002687,-132.0,0.0
82,20.0,0.0016709999999875436,-19.0,0.0
83,38.0,0.003305000000068503,-37.0,0.0
84,45.0,0.0035619999999880747,-44.0,0.0
85,17.0,0.0012799999999515421,83.0,0.0
86,14.0,0.0013289999999415159,86.0,0.0
