episode,length,time,reward,delta
0,500.0,0.040378000000032443,-3966.0,-0.0027249085362612835
1,382.0,0.027419000000008964,-2361.0,100.0
2,500.0,0.03547200000002704,-3768.0,-0.01126676065458665
3,500.0,0.03503899999998339,-3867.0,-1.7649112863615812e-05
4,244.0,0.017557000000010703,-1926.0,50.0
5,500.0,0.03544699999997647,-2778.0,-0.0001877970344008606
6,44.0,0.0031379999999217034,-142.0,25.0
7,21.0,0.0015620000000353684,79.0,12.5
8,44.0,0.003150000000005093,-43.0,6.25
9,25.0,0.0018210000000635773,75.0,3.125
10,52.0,0.0036830000000236396,-150.0,1.5625
11,69.0,0.0051090000000613145,-266.0,0.78125
12,125.0,0.008771999999908076,-520.0,0.390625
13,28.0,0.002036999999972977,-126.0,0.1953125
14,38.0,0.0027159999999639695,-37.0,0.09765625
15,32.0,0.0023139999999557403,-31.0,0.048828125
16,25.0,0.0019579999999450592,75.0,0.0244140625
17,22.0,0.0016200000000026193,-21.0,0.01220703125
18,33.0,0.0023639999999431893,67.0,0.006103515625
19,48.0,0.003536999999937507,-146.0,0.0030517578125
20,60.0,0.004572000000052867,-257.0,0.00152587890625
21,86.0,0.0060080000000652944,-283.0,0.000762939453125
22,38.0,0.0027380000000221116,-37.0,0.0003814697265625
23,80.0,0.006687999999940075,-376.0,0.00019073486328125
24,17.0,0.0012750000000778527,83.0,9.5367431640625e-05
25,18.0,0.0013310000000501532,82.0,4.76837158203125e-05
26,65.0,0.0045570000000907385,-163.0,2.384185791015625e-05
27,17.0,0.001380000000040127,83.0,1.1920928955078125e-05
28,32.0,0.0022930000000087603,-31.0,5.9604644775390625e-06
29,36.0,0.002571999999986474,-35.0,2.9802322387695312e-06
30,25.0,0.0018180000000711516,75.0,1.4901161193847656e-06
31,70.0,0.0053719999999657375,-366.0,7.450580596923828e-07
32,33.0,0.0023599999999532884,67.0,3.725290298461914e-07
33,15.0,0.0011160000000245418,85.0,1.862645149230957e-07
34,21.0,0.0015250000000150976,-119.0,9.313225746154785e-08
35,19.0,0.0013889999999037173,81.0,4.6566128730773926e-08
36,42.0,0.002962000000025,-41.0,2.3283064365386963e-08
37,90.0,0.006323999999949592,-980.0,1.1641532182693481e-08
38,17.0,0.001347000000009757,83.0,5.820766091346741e-09
39,22.0,0.001598000000058164,78.0,2.9103830456733704e-09
40,25.0,0.0018010000000003856,-24.0,1.4551915228366852e-09
41,23.0,0.0016709999999875436,77.0,7.275957614183426e-10
42,17.0,0.0012639999999919382,83.0,3.637978807091713e-10
43,54.0,0.0037909999999783395,-53.0,1.8189894035458565e-10
