steps,time,reward,delta,converged
1,0.0058660000000827495,0.2948717948717949,100.0,False
2,0.03596500000003289,-3.1736526946107784,100.0,False
3,0.035803999999984626,-2.7784431137724552,100.0,False
4,0.03760299999999006,-2.3832335329341316,100.0,False
5,0.05101999999999407,-2.3832335329341316,100.0,False
6,0.0459449999999606,-1.7904191616766467,100.0,False
7,0.035748000000012325,-1.1976047904191616,100.0,False
8,0.03471600000000308,-1.1976047904191616,100.0,False
9,0.035484999999994216,-1.3952095808383234,100.0,False
10,0.03607199999999011,-1.1976047904191616,100.0,False
11,0.03473000000008142,-1.0,100.0,False
12,0.03510499999993044,-1.0,100.0,False
13,0.035944999999969696,-1.1976047904191616,100.0,False
14,0.03476999999998043,-1.0,100.0,False
15,0.0349149999999554,-1.3952095808383234,100.0,False
16,0.035397999999986496,-1.0,100.0,False
17,0.03476499999999305,-1.1976047904191616,100.0,False
18,0.035534000000097876,-1.0,100.0,False
19,0.035304999999993925,-1.0,100.0,False
20,0.039101999999957116,-1.0,100.0,False
21,0.03881300000000465,-1.0,100.0,False
22,0.03554199999996399,-1.1976047904191616,100.0,False
23,0.035078999999996086,-1.0,100.0,False
24,0.03494499999999334,-1.0,100.0,False
25,0.03513599999996586,-1.0,100.0,False
26,0.03564700000003995,-1.0,100.0,False
27,0.03501400000004651,-1.0,100.0,False
28,0.03535099999999147,-1.0,100.0,False
29,0.03529900000000907,-1.1976047904191616,100.0,False
30,0.03584799999998722,-1.0,100.0,False
31,0.03544299999998657,-1.0,100.0,False
32,0.03490400000009686,-1.0,100.0,False
33,0.03488700000002609,-1.0,100.0,False
34,0.035112000000026455,-1.0,100.0,False
35,0.03531800000007479,-1.0,100.0,False
36,0.036717000000066946,-1.0,100.0,False
37,0.0377090000000635,-1.0,100.0,False
38,0.03627900000003592,-1.0,100.0,False
39,0.03640100000006896,-1.0,100.0,False
40,0.03622700000005352,-1.0,100.0,False
41,0.03705000000002201,-1.0,100.0,False
42,0.03510599999992792,-1.0,100.0,False
43,0.0352659999999787,-1.0,100.0,False
44,0.03541599999994105,-1.0,100.0,False
45,0.03702299999997649,-1.0,100.0,False
46,0.0352020000000266,-1.0,100.0,False
47,0.0362400000000207,-1.0,100.0,False
48,0.035994000000073356,-1.0,100.0,False
49,0.035824999999931606,-1.0,100.0,False
50,0.03550499999994372,-1.0,100.0,False
51,0.0364439999999604,-1.0,100.0,False
52,0.03582300000005034,-1.0,100.0,False
53,0.03553799999997409,-1.0,100.0,False
54,0.035410000000069886,-1.0,100.0,False
55,0.03546300000004976,-1.0,100.0,False
56,0.035373000000049615,-1.0,100.0,False
57,0.0372899999999845,-1.0,100.0,False
58,0.03626700000006622,-1.0,100.0,False
59,0.03543600000000424,-1.0,100.0,False
60,0.035972000000015214,-1.0,100.0,False
61,0.035518000000024585,-1.0,100.0,False
62,0.03658000000007178,-1.0,100.0,False
63,0.03587700000002769,-1.0,100.0,False
64,0.03560400000003483,-1.0,100.0,False
65,0.035329999999930806,-1.0,100.0,False
66,0.03507199999990007,-1.0,100.0,False
67,0.03577499999994416,-1.0,100.0,False
68,0.0364119999999275,-1.0,100.0,False
69,0.03523599999994076,-1.0,100.0,False
70,0.035831000000030144,-1.0,100.0,False
71,0.03713100000004488,-1.0,100.0,False
72,0.038306000000034146,-1.0,100.0,False
73,0.03644500000007156,-1.0,100.0,False
74,0.03547800000001189,-1.0,100.0,False
75,0.036220999999954984,-1.0,100.0,False
76,0.03526299999998628,-1.0,100.0,False
77,0.0361880000000383,-1.0,100.0,False
78,0.03625499999998283,-1.0,100.0,False
79,0.03609299999993709,-1.0,100.0,False
80,0.036713999999960834,-1.0,100.0,False
81,0.03567000000009557,-1.0,100.0,False
82,0.03559200000006513,-1.0,100.0,False
83,0.03576199999997698,-1.0,100.0,False
84,0.036120999999980086,-1.0,100.0,False
85,0.03618299999993724,-1.0,100.0,False
86,0.036185000000045875,-1.0,100.0,False
87,0.03498700000000099,-1.0,100.0,False
88,0.035605000000032305,-1.0,100.0,False
89,0.03497600000002876,-1.0,100.0,False
90,0.034923999999932676,-1.0,100.0,False
91,0.03786099999990711,-1.0,100.0,False
92,0.03719699999999193,-1.0,100.0,False
93,0.0350460000000794,-1.0,100.0,False
94,0.03550700000005236,-1.0,100.0,False
95,0.035306999999988875,-1.0,100.0,False
96,0.03592300000002524,-1.0,100.0,False
97,0.0366830000000391,-1.0,100.0,False
98,0.037486000000058084,-1.0,100.0,False
99,0.03623000000004595,-1.0,100.0,False
100,0.03521699999998873,-1.0,100.0,False
101,0.03540299999997387,-1.0,100.0,False
102,0.03735899999992398,-1.0,100.0,False
103,0.03593799999998737,-1.0,100.0,False
104,0.04081100000007609,-1.0,100.0,False
105,0.03508699999997589,-1.0,100.0,False
106,0.03522499999996853,-1.0,100.0,False
107,0.034876000000053864,-1.0,100.0,False
108,0.03611999999998261,-1.0,100.0,False
109,0.03565200000002733,-1.0,100.0,False
110,0.03512200000000121,-1.0,100.0,False
111,0.03734399999996185,-1.0,100.0,False
112,0.037562999999977364,-1.0,100.0,False
113,0.0458409999999958,-1.0,100.0,False
114,0.05661200000008648,-1.0,100.0,False
115,0.05164300000001276,-1.0,100.0,False
116,0.05722400000001926,-1.0,100.0,False
117,0.040879000000018095,-1.0,100.0,False
118,0.07670400000006339,-1.0,100.0,False
119,0.055710999999973865,-1.0,100.0,False
120,0.04289700000003904,-1.0,100.0,False
121,0.05243999999993321,-1.0,100.0,False
122,0.0456019999999171,-1.0,100.0,False
123,0.054125999999996566,-1.0,100.0,False
124,0.04736000000002605,-1.0,100.0,False
125,0.05025100000000293,-1.0,100.0,False
126,0.05234199999995326,-1.0,100.0,False
127,0.04628500000001168,-1.0,100.0,False
128,0.0754900000000589,-1.0,100.0,False
129,0.0554339999999911,-1.0,100.0,False
130,0.1271319999999605,-1.0,100.0,False
131,0.15172999999992953,-1.0,100.0,False
132,0.061388999999962834,-1.0,100.0,False
133,0.05144299999994928,-1.0,100.0,False
134,0.06605200000001332,-1.0,100.0,False
135,0.07534799999996267,-1.0,100.0,False
136,0.13600299999995968,-1.0,100.0,False
137,0.06634599999995316,-1.0,100.0,False
138,0.03636900000003607,-1.0,100.0,False
139,0.04130299999997078,-1.0,100.0,False
140,0.036777999999912936,-1.0,100.0,False
141,0.045046999999954096,-1.0,100.0,False
142,0.03872000000001208,-1.0,100.0,False
143,0.03650300000003881,-1.0,100.0,False
144,0.03565399999990859,-1.0,100.0,False
145,0.041440999999963424,-1.0,100.0,False
146,0.03683099999989281,-1.0,100.0,False
147,0.0368549999999459,-1.0,100.0,False
148,0.04746399999999085,-1.0,100.0,False
149,0.06786699999997836,-1.0,100.0,False
150,0.16087399999992158,-1.0,100.0,False
151,0.176330999999891,-1.0,100.0,False
152,0.1808179999999311,-1.0,100.0,False
153,0.12273500000003423,-1.0,100.0,False
