episode,length,time,reward,delta
0,500.0,0.04079799999999523,-3471.0,-0.007641410802949444
1,452.0,0.03654900000003636,-2827.0,100.00034214070153
2,136.0,0.010708000000022366,-432.0,10.000034214070155
3,29.0,0.002073999999993248,-28.0,1.0000034214070155
4,51.0,0.006476000000020576,-50.0,0.10000034214070297
5,41.0,0.005758999999898151,-40.0,0.010000034214073139
6,48.0,0.003984999999943284,-245.0,0.001000003421410156
7,66.0,0.005262000000016087,-263.0,0.00010000034214385778
8,105.0,0.007875000000012733,-599.0,1.0000034208701436e-05
9,18.0,0.001322000000072876,82.0,1.000003422291229e-06
10,22.0,0.0022490000000061627,78.0,1.0000034933455026e-07
11,25.0,0.0018119999999726133,-24.0,1.0000036354540498e-08
12,16.0,0.0011759999999867432,84.0,1.0000036354540498e-09
13,34.0,0.002885999999989508,-33.0,1.000017846308765e-10
14,32.0,0.002329000000031556,-31.0,1.000444171950221e-11
15,41.0,0.002878000000009706,-139.0,9.947598300641403e-13
16,73.0,0.0056730000000015934,-270.0,9.947598300641403e-14
17,31.0,0.0022200000000793807,-30.0,1.4210854715202004e-14
18,52.0,0.004235999999991691,-150.0,0.0
19,58.0,0.004762000000027911,-156.0,0.0
20,63.0,0.005397000000016305,-161.0,0.0
21,49.0,0.0040169999999761785,-246.0,0.0
22,20.0,0.0014449999999897045,80.0,0.0
23,18.0,0.0013199999999642387,82.0,0.0
24,54.0,0.004417999999986932,-152.0,0.0
25,15.0,0.001107999999931053,85.0,0.0
26,26.0,0.0019330000000081782,-25.0,0.0
27,32.0,0.0024920000000747677,-31.0,0.0
28,15.0,0.0011080000000447399,85.0,0.0
29,18.0,0.0013059999999995853,82.0,0.0
30,36.0,0.0036369999999124047,-35.0,0.0
31,55.0,0.004067999999961103,-153.0,0.0
32,22.0,0.0024609999999256615,78.0,0.0
33,30.0,0.002372000000036678,-29.0,0.0
34,41.0,0.0032089999999698193,-40.0,0.0
35,24.0,0.0017420000000356595,76.0,0.0
36,18.0,0.0012969999999086212,82.0,0.0
37,17.0,0.0012299999999640931,83.0,0.0
38,49.0,0.004121000000054664,-246.0,0.0
39,31.0,0.0021990000000187138,-30.0,0.0
40,18.0,0.00130500000000211,82.0,0.0
41,14.0,0.001174999999989268,86.0,0.0
42,17.0,0.001366999999959262,83.0,0.0
43,20.0,0.001439000000004853,80.0,0.0
44,41.0,0.0031339999999318024,-139.0,0.0
45,23.0,0.0019710000000259242,77.0,0.0
46,28.0,0.0019849999999905776,-126.0,0.0
47,37.0,0.0025789999999688007,-36.0,0.0
48,18.0,0.001530999999999949,82.0,0.0
49,15.0,0.0012189999999918655,85.0,0.0
50,16.0,0.0012449999999262218,84.0,0.0
51,34.0,0.004028999999945881,-33.0,0.0
52,18.0,0.0013199999999642387,82.0,0.0
53,22.0,0.0016110000000253422,78.0,0.0
54,14.0,0.0010270000000218715,86.0,0.0
55,17.0,0.001228999999966618,83.0,0.0
56,17.0,0.001826999999934742,-16.0,0.0
57,19.0,0.0013830000000325526,81.0,0.0
58,16.0,0.0011700000000018917,84.0,0.0
59,20.0,0.001439000000004853,80.0,0.0
60,17.0,0.0013529999999946085,83.0,0.0
61,48.0,0.003476000000091517,-146.0,0.0
62,21.0,0.0015260000000125729,79.0,0.0
63,14.0,0.0010350000000016735,86.0,0.0
64,16.0,0.001345999999898595,84.0,0.0
65,16.0,0.001163000000019565,84.0,0.0
66,16.0,0.001163000000019565,84.0,0.0
67,14.0,0.0010389999999915744,86.0,0.0
68,21.0,0.0015079999999443316,79.0,0.0
69,22.0,0.002175000000079308,78.0,0.0
70,16.0,0.001188000000070133,84.0,0.0
71,69.0,0.004899000000023079,-266.0,0.0
72,21.0,0.0015240000000176224,79.0,0.0
73,17.0,0.0012319999999590436,83.0,0.0
74,20.0,0.0014460000001008666,80.0,0.0
75,18.0,0.0013249999999516149,82.0,0.0
76,68.0,0.005342999999925269,-265.0,0.0
77,18.0,0.0029260000000022046,82.0,0.0
78,39.0,0.0028489999999692373,-38.0,0.0
79,14.0,0.0010459999999739011,86.0,0.0
80,26.0,0.0018600000000787986,74.0,0.0
81,14.0,0.0014859999999998763,86.0,0.0
82,20.0,0.0014730000000326982,80.0,0.0
83,29.0,0.002213000000097054,-28.0,0.0
84,24.0,0.001936000000000604,76.0,0.0
85,17.0,0.0012540000000171858,83.0,0.0
86,15.0,0.0011059999999361025,85.0,0.0
87,36.0,0.002534999999966203,-35.0,0.0
88,14.0,0.0010389999999915744,86.0,0.0
89,20.0,0.0019300000000157524,80.0,0.0
90,19.0,0.0013770000000477012,81.0,0.0
91,14.0,0.0010509999999612774,86.0,0.0
92,14.0,0.0010399999999890497,86.0,0.0
93,36.0,0.0038879999999608117,-35.0,0.0
94,38.0,0.0028509999999641877,-136.0,0.0
95,18.0,0.001550999999949454,82.0,0.0
96,34.0,0.0024690000000191503,-33.0,0.0
97,17.0,0.0013440000000173313,83.0,0.0
98,16.0,0.001301000000012209,84.0,0.0
99,57.0,0.004608000000075663,-155.0,0.0
100,50.0,0.003531000000066342,-148.0,0.0
101,14.0,0.001492999999982203,86.0,0.0
102,18.0,0.0013079999999945358,82.0,0.0
103,14.0,0.001033000000006723,86.0,0.0
104,18.0,0.0012960000000248328,82.0,0.0
105,14.0,0.0010620000000471919,86.0,0.0
106,22.0,0.002062000000023545,78.0,0.0
107,16.0,0.0011769999999842184,84.0,0.0
108,37.0,0.0025709999999889988,-234.0,0.0
109,17.0,0.0014109999999618594,-16.0,0.0
110,35.0,0.0025669999999990978,-34.0,0.0
111,14.0,0.0010350000000016735,86.0,0.0
112,21.0,0.0015039999999544307,79.0,0.0
113,54.0,0.004357000000027256,-152.0,0.0
114,19.0,0.001393000000007305,81.0,0.0
115,16.0,0.0011729999999943175,84.0,0.0
116,35.0,0.003065999999989799,-34.0,0.0
117,17.0,0.0012470000000348591,83.0,0.0
118,17.0,0.0012480000000323344,83.0,0.0
119,22.0,0.0015710000000126456,78.0,0.0
120,17.0,0.0017709999999624415,83.0,0.0
121,28.0,0.0019849999999905776,-27.0,0.0
122,14.0,0.001090999999973974,86.0,0.0
123,18.0,0.0014209999999366119,82.0,0.0
124,91.0,0.007057000000031621,-387.0,0.0
125,14.0,0.001832000000035805,86.0,0.0
126,37.0,0.0026380000000472137,-36.0,0.0
127,22.0,0.0015799999999899228,78.0,0.0
128,19.0,0.0014439999999922293,-18.0,0.0
129,15.0,0.0015290000000049986,85.0,0.0
130,18.0,0.001312999999981912,82.0,0.0
131,14.0,0.0010260000000243963,86.0,0.0
132,14.0,0.0010289999999031352,86.0,0.0
133,14.0,0.0010379999999940992,86.0,0.0
134,35.0,0.003023999999982152,-34.0,0.0
135,44.0,0.0032860000000027867,-43.0,0.0
136,50.0,0.004169999999930951,-148.0,0.0
137,30.0,0.002124999999978172,-29.0,0.0
138,17.0,0.0012369999999464198,83.0,0.0
139,14.0,0.0015960000000632135,86.0,0.0
140,48.0,0.010624000000007072,-146.0,0.0
141,18.0,0.0013310000000501532,82.0,0.0
142,14.0,0.0010720000000219443,86.0,0.0
143,15.0,0.0015499999999519787,85.0,0.0
144,37.0,0.006398999999987609,-36.0,0.0
145,33.0,0.006425999999919441,-32.0,0.0
146,18.0,0.002796999999986838,82.0,0.0
147,15.0,0.003809999999930369,85.0,0.0
148,18.0,0.001375999999936539,82.0,0.0
149,20.0,0.0014599999999518332,80.0,0.0
150,33.0,0.0023439999999936845,-32.0,0.0
151,17.0,0.0018499999999903594,83.0,0.0
152,20.0,0.003355000000055952,-19.0,0.0
153,16.0,0.0026760000000649597,84.0,0.0
154,17.0,0.0029080000000476502,83.0,0.0
155,14.0,0.0024059999999508364,86.0,0.0
156,36.0,0.007532999999966705,-35.0,0.0
157,16.0,0.0012110000000120635,84.0,0.0
158,28.0,0.004924999999957436,-27.0,0.0
159,22.0,0.001619000000005144,78.0,0.0
160,15.0,0.0011050000000523141,85.0,0.0
161,19.0,0.0014330000000200016,-18.0,0.0
162,16.0,0.0011640000000170403,84.0,0.0
163,33.0,0.0029580000000350992,-32.0,0.0
164,35.0,0.002564000000006672,-34.0,0.0
165,18.0,0.0012910000000374566,82.0,0.0
166,20.0,0.0019539999999551583,80.0,0.0
167,15.0,0.0011399999999639476,85.0,0.0
168,20.0,0.0014659999999366846,80.0,0.0
169,14.0,0.0010379999999940992,86.0,0.0
170,23.0,0.0016540000000304644,77.0,0.0
171,15.0,0.0012259999999741922,85.0,0.0
172,16.0,0.001178999999979169,84.0,0.0
173,75.0,0.00539600000001883,-371.0,0.0
174,14.0,0.0011570000000347136,86.0,0.0
175,16.0,0.0016740000000936561,84.0,0.0
176,18.0,0.0015359999999873253,82.0,0.0
177,16.0,0.0011739999999917927,84.0,0.0
178,18.0,0.0018420000000105574,82.0,0.0
179,20.0,0.0014700000000402724,80.0,0.0
180,18.0,0.0013200000000779255,82.0,0.0
181,14.0,0.0010320000000092477,86.0,0.0
182,16.0,0.0015660000000252694,84.0,0.0
183,14.0,0.0010890000000927103,86.0,0.0
184,14.0,0.0010379999999940992,86.0,0.0
185,22.0,0.0016709999999875436,78.0,0.0
186,49.0,0.003951000000029126,-246.0,0.0
187,18.0,0.0013269999999465654,-17.0,0.0
188,33.0,0.0023370000000113578,-32.0,0.0
189,21.0,0.0018999999999778083,-20.0,0.0
190,16.0,0.0011869999999589709,84.0,0.0
191,14.0,0.0010300000000142973,86.0,0.0
192,38.0,0.0027589999999690917,-37.0,0.0
193,18.0,0.0013950000000022555,82.0,0.0
194,32.0,0.002379000000019005,-31.0,0.0
195,14.0,0.0010490000000800137,86.0,0.0
196,16.0,0.0011580000000321888,84.0,0.0
197,17.0,0.0027419999998983258,83.0,0.0
198,20.0,0.0022430000000213113,80.0,0.0
199,17.0,0.0013689999999542124,83.0,0.0
200,15.0,0.001100000000064938,-14.0,0.0
201,14.0,0.0015079999999443316,86.0,0.0
202,17.0,0.0013709999999491629,83.0,0.0
203,19.0,0.0016570000000228902,81.0,0.0
204,36.0,0.00287300000002233,-35.0,0.0
205,31.0,0.0022069999999985157,-30.0,0.0
206,30.0,0.002149000000031265,-29.0,0.0
207,33.0,0.002866000000040003,-32.0,0.0
208,31.0,0.002196000000026288,-30.0,0.0
209,22.0,0.0015710000000126456,78.0,0.0
210,14.0,0.001044999999976426,86.0,0.0
211,22.0,0.002213000000097054,78.0,0.0
212,18.0,0.0013210000000754007,82.0,0.0
