steps,time,reward,delta,converged
1,0.006159000000025117,0.0,0,False
2,0.01507299999980205,0.0,0,False
3,0.02899699999989025,0.0,0,False
4,0.011807999999973617,0.0,0,False
5,0.004846000000043205,0.0,0,False
6,0.0030749999998533895,0.0,0,False
7,0.00782600000002276,0.0,0,False
8,0.011048000000073444,0.0,0,False
9,0.013419000000112646,0.0,0,False
10,0.0007430000000567816,0.0,0,False
11,0.005034000000023298,0.0,0,False
12,0.002128999999968073,0.0,0,False
13,0.003560000000106811,0.0,0,False
14,0.0011099999999260035,0.0,0,False
15,0.02323700000010831,0.0,0,False
16,0.017815000000155123,0.0,0,False
17,0.02384299999994255,0.0,0,False
18,0.02571100000000115,0.0,0,False
19,0.007151999999905456,0.0,0,False
20,0.02042499999993197,0.0,0,False
21,0.0030050000000301225,0.0,0,False
22,0.010659000000032393,0.0,0,False
23,0.007534999999961656,0.0,0,False
24,0.0034559999999146385,0.0,0,False
25,0.03301299999998264,0.0,0,False
26,0.002349999999978536,0.0,0,False
27,0.004247999999961394,0.0,0,False
28,0.008557000000109838,0.0,0,False
29,0.01040499999999156,0.0,0,False
30,0.011791000000130225,0.0,0,False
31,0.006757999999990716,0.0,0,False
32,0.006679999999960273,0.0,0,False
33,0.007076000000097338,0.0,0,False
34,0.00634200000013152,0.0,0,False
35,0.006927000000132466,0.0,0,False
36,0.007792000000108601,0.0,0,False
37,0.007366999999931068,0.0,0,False
38,0.0350940000000719,0.0,0,False
39,0.006895999999869673,0.0,0,False
40,0.02370799999994233,0.0,0,False
41,0.006022000000029948,0.0,0,False
42,0.03468399999997018,0.0,0,False
43,0.042097000000012486,0.0,0,False
44,0.030889999999999418,0.0,0,False
45,0.0045729999999366555,0.0,0,False
46,0.021772000000055414,0.0,0,False
47,0.005450999999993655,0.0,0,False
48,0.02644400000008318,0.0,0,False
49,0.01586700000007113,0.0,0,False
50,0.015781999999944674,0.0,0,False
51,0.02416599999992286,0.0,0,False
52,0.010956999999962136,0.0,0,False
53,0.0035989999998946587,0.0,0,False
54,0.01375000000007276,0.0,0,False
55,0.014451000000008207,0.0,0,False
56,0.0030090000000200234,0.0,0,False
57,0.014910000000099899,0.0,0,False
58,0.010845000000017535,0.0,0,False
59,0.004865000000108921,0.0,0,False
60,0.0305430000000797,0.0,0,False
61,0.022547000000031403,0.0,0,False
62,0.00288700000010067,0.0,0,False
63,0.04067699999995966,0.0,0,False
64,0.016680000000178552,0.0,0,False
65,0.015965000000051077,0.0,0,False
66,0.030242000000043845,0.0,0,False
67,0.03543600000011793,0.0,0,False
68,0.02589499999999134,0.0,0,False
69,0.02242900000010195,0.0,0,False
70,0.0051119999998263665,0.0,0,False
71,0.005783999999948719,0.0,0,False
72,0.0058950000000095315,0.0,0,False
73,0.0030930000000353175,0.0,0,False
74,0.01573099999995975,0.0,0,False
75,0.029393000000027314,0.0,0,False
76,0.02118900000004942,0.0,0,False
77,0.04358799999999974,0.0,0,False
78,0.014155999999957203,0.0,0,False
79,0.04735700000014731,0.0,0,False
80,0.012535999999954583,0.0,0,False
81,0.00507000000015978,0.0,0,False
82,0.009358000000020184,0.0,0,False
83,0.0031100000001060835,0.0,0,False
84,0.0063070000001062,0.0,0,False
85,0.0034949999999298598,0.0,0,False
86,0.007891999999856125,0.0,0,False
87,0.012752999999975145,0.0,0,False
88,0.001396999999997206,0.0,0,False
89,0.009904999999889696,0.0,0,False
90,0.00878099999999904,0.0,0,False
91,0.008084999999937281,0.0,0,False
92,0.008305999999947744,0.0,0,False
93,0.029993000000104075,0.0,0,False
94,0.03036900000006426,0.0,0,False
95,0.004367999999885797,0.0,0,False
96,0.04360599999995429,0.0,0,False
97,0.002291999999897598,0.0,0,False
98,0.021065000000135115,0.0,0,False
99,0.013067000000091866,0.0,0,False
100,0.026744000000007873,0.0,0,False
101,0.01911200000017743,0.0,0,False
102,0.007403999999951338,0.0,0,False
103,0.020080000000007203,0.0,0,False
104,0.028632000000015978,0.0,0,False
105,0.04920600000014019,0.0,0,False
106,0.026035000000092623,0.0,0,False
107,0.0046649999999317515,0.0,0,False
108,0.004255999999941196,0.0,0,False
109,0.022178999999823645,0.0,0,False
110,0.011415000000170039,0.0,0,False
111,0.01174999999989268,0.0,0,False
112,0.005516000000170607,0.0,0,False
113,0.009066000000075292,0.0,0,False
114,0.011937999999872773,0.0,0,False
115,0.010246000000051936,0.0,0,False
116,0.039915999999948326,0.0,0,False
117,0.004444000000148662,0.0,0,False
118,0.013214000000061787,0.0,0,False
119,0.004024000000072192,0.0,0,False
120,0.0052680000001146254,0.0,0,False
121,0.00810999999998785,0.0,0,False
122,0.04186600000002727,0.0,0,False
123,0.009890000000041255,0.0,0,False
124,0.0025620000001254084,0.0,0,False
125,0.012887999999975364,0.0,0,False
126,0.017500000000154614,0.0,0,False
127,0.01695000000017899,0.0,0,False
128,0.009573000000045795,0.0,0,False
129,0.020130999999992127,0.0,0,False
130,0.004631000000017593,0.0,0,False
131,0.009517999999843596,0.0,0,False
132,0.004566999999951804,0.0,0,False
133,0.008030999999846244,0.0,0,False
134,0.0404519999999593,0.0,0,False
135,0.005656000000044514,0.0,0,False
136,0.033707999999933236,0.0,0,False
137,0.04292000000009466,0.0,0,False
138,0.004402999999911117,0.0,0,False
139,0.015742000000045664,0.0,0,False
140,0.04164700000001176,0.0,0,False
141,0.05070999999998094,0.0,0,False
142,0.00973799999997027,0.0,0,False
143,0.012985999999955311,0.0,0,False
144,0.015521000000035201,0.0,0,False
145,0.007984999999962383,0.0,0,False
146,0.040576999999984764,0.0,0,False
147,0.04891300000008414,0.0,0,False
148,0.04148199999985991,0.0,0,False
149,0.0031759999999394495,0.0,0,False
150,0.009900000000016007,0.0,0,False
151,0.0022930000000087603,0.0,0,False
152,0.008338999999978114,0.0,0,False
153,0.012013000000024476,0.0,0,False
154,0.015643000000181928,0.0,0,False
155,0.04360799999994924,0.0,0,False
156,0.00243399999999383,0.0,0,False
157,0.017828999999892403,0.0,0,False
158,0.010839999999916472,0.0,0,False
159,0.005180999999993219,0.0,0,False
160,0.03654200000005403,0.0,0,False
161,0.0033240000000205328,0.0,0,False
162,0.004843000000164466,0.0,0,False
163,0.01926899999989473,0.0,0,False
164,0.04238899999995738,0.0,0,False
165,0.02352599999994709,0.0,0,False
166,0.013580000000047221,0.0,0,False
167,0.03916700000013407,0.0,0,False
168,0.012022999999999229,0.0,0,False
169,0.003922999999986132,0.0,0,False
170,0.03809799999999086,0.0,0,False
171,0.009549000000106389,0.0,0,False
172,0.006123000000116008,0.0,0,False
173,0.004785000000083528,0.0,0,False
174,0.0027620000000752043,0.0,0,False
175,0.011856000000079803,0.0,0,False
176,0.0126669999999649,0.0,0,False
177,0.004313000000138345,0.0,0,False
178,0.019441000000142594,0.0,0,False
179,0.0033240000000205328,0.0,0,False
180,0.02532500000006621,0.0,0,False
181,0.010886000000027707,0.0,0,False
182,0.0053430000000389555,0.0,0,False
183,0.012615000000096188,0.0,0,False
184,0.0426070000000891,0.0,0,False
185,0.024290999999948326,0.0,0,False
186,0.0018679999998312269,0.0,0,False
187,0.0027790000001459703,0.0,0,False
188,0.034474000000045635,0.0,0,False
189,0.001955000000180007,0.0,0,False
190,0.016413999999940643,0.0,0,False
191,0.01106900000013411,0.0,0,False
192,0.010892000000012558,0.0,0,False
193,0.019613000000163083,0.0,0,False
194,0.03362099999981183,0.0,0,False
195,0.007564999999885913,0.0,0,False
196,0.009641999999985273,0.0,0,False
197,0.016227000000071712,0.0,0,False
