steps,time,reward,delta,converged
1,0.03628700000001572,-4.5568862275449105,0,False
2,0.04036899999999832,-3.1736526946107784,0,False
3,0.03503899999998339,-2.7784431137724552,0,False
4,0.03600099999999884,-3.964071856287425,0,False
5,0.03514899999998988,-4.359281437125748,0,False
6,0.0353240000000028,-2.7784431137724552,0,False
7,0.03522600000002285,-2.7784431137724552,0,False
8,0.03790899999995645,-3.964071856287425,0,False
9,0.03565400000002228,-2.7784431137724552,0,False
10,0.042293999999969856,-4.5568862275449105,0,False
11,0.035084000000040305,-3.37125748502994,0,False
12,0.03518300000001773,-3.1736526946107784,0,False
13,0.035594000000003234,-2.9760479041916166,0,False
14,0.03521899999998368,-3.37125748502994,0,False
15,0.038259999999979755,-2.7784431137724552,0,False
16,0.03660400000001118,-2.5808383233532934,0,False
17,0.036447000000009666,-2.5808383233532934,0,False
18,0.036076000000036856,-2.5808383233532934,0,False
19,0.0378509999999892,-1.9880239520958083,0,False
20,0.03573999999997568,-1.9880239520958083,0,False
21,0.03680800000000772,-2.3832335329341316,0,False
22,0.041487000000017815,-2.18562874251497,0,False
23,0.041376000000013846,-2.18562874251497,0,False
24,0.03511900000000878,-2.3832335329341316,0,False
25,0.03493199999996932,-2.18562874251497,0,False
26,0.004468999999971857,0.7413793103448276,100.0,False
27,0.036063000000012835,-2.5808383233532934,100.0,False
28,0.0347550000000183,-2.18562874251497,100.0,False
29,0.03483500000004369,-2.18562874251497,100.0,False
30,0.03504099999997834,-1.9880239520958083,100.0,False
31,0.03543000000001939,-1.7904191616766467,100.0,False
32,0.03573400000004767,-1.1976047904191616,100.0,False
33,0.03881699999999455,-1.1976047904191616,100.0,False
34,0.036621000000025106,-1.3952095808383234,100.0,False
35,0.035136000000022705,-1.0,100.0,False
36,0.034663999999963835,-1.1976047904191616,100.0,False
37,0.03459299999997256,-1.1976047904191616,100.0,False
38,0.018931000000009135,-0.6245353159851301,100.0,False
39,0.0424319999999625,-1.0,100.0,False
40,0.036229999999989104,-1.0,100.0,False
41,0.034811999999988075,-1.3952095808383234,100.0,False
42,0.037783000000047195,-1.0,100.0,False
43,0.0362480000000005,-1.1976047904191616,100.0,False
44,0.036320999999986725,-1.0,100.0,False
45,0.03568799999999328,-1.1976047904191616,100.0,False
46,0.04029800000000705,-1.0,100.0,False
47,0.03515599999997221,-1.0,100.0,False
48,0.03679699999997865,-1.0,100.0,False
49,0.03583200000002762,-1.1976047904191616,100.0,False
50,0.03826499999996713,-1.1976047904191616,100.0,False
51,0.03799400000002606,-1.0,100.0,False
52,0.03642899999999827,-1.0,100.0,False
53,0.03468700000001945,-1.1976047904191616,100.0,False
54,0.035501999999951295,-1.1976047904191616,100.0,False
55,0.03607699999997749,-1.0,100.0,False
56,0.03446999999999889,-1.0,100.0,False
57,0.03605499999997619,-1.0,100.0,False
58,0.035227000000020325,-1.1976047904191616,100.0,False
59,0.03467399999999543,-1.0,100.0,False
60,0.03442899999998872,-1.0,100.0,False
61,0.0348669999999629,-1.1976047904191616,100.0,False
62,0.0348149999999805,-1.0,100.0,False
63,0.03482799999994768,-1.0,100.0,False
64,0.03547800000001189,-1.0,100.0,False
65,0.03818899999998848,-1.1976047904191616,100.0,False
66,0.0419409999999516,-1.0,100.0,False
67,0.034769000000039796,-1.0,100.0,False
68,0.03556200000002718,-1.0,100.0,False
69,0.036172999999962485,-1.1976047904191616,100.0,False
70,0.035011999999994714,-1.0,100.0,False
71,0.03631599999999935,-1.0,100.0,False
72,0.03667599999999993,-1.0,100.0,False
73,0.035286000000041895,-1.0,100.0,False
74,0.034467000000006465,-1.0,100.0,False
75,0.03698000000002821,-1.0,100.0,False
76,0.034993999999983316,-1.0,100.0,False
77,0.035293999999964853,-1.0,100.0,False
78,0.03506700000002638,-1.0,100.0,False
79,0.03466400000002068,-1.0,100.0,False
80,0.03484000000003107,-1.1976047904191616,100.0,False
81,0.03475199999996903,-1.0,100.0,False
82,0.034461999999962245,-1.0,100.0,False
83,0.03502600000001621,-1.0,100.0,False
84,0.03574100000003,-1.0,100.0,False
85,0.03462099999995871,-1.0,100.0,False
86,0.034954999999968095,-1.0,100.0,False
87,0.035009999999999764,-1.0,100.0,False
88,0.034829000000002,-1.0,100.0,False
89,0.03551399999997784,-1.0,100.0,False
90,0.034678000000042175,-1.0,100.0,False
91,0.035978000000000065,-1.0,100.0,False
92,0.041227999999989606,-1.0,100.0,False
93,0.03446000000002414,-1.0,100.0,False
94,0.04189099999996415,-1.0,100.0,False
95,0.035302999999998974,-1.0,100.0,False
96,0.034766999999988,-1.0,100.0,False
97,0.034986000000003514,-1.0,100.0,False
98,0.0348070000000007,-1.0,100.0,False
99,0.03738200000003644,-1.0,100.0,False
100,0.03547100000002956,-1.0,100.0,False
101,0.03496999999998707,-1.0,100.0,False
102,0.03474399999998923,-1.0,100.0,False
103,0.035086000000035256,-1.0,100.0,False
104,0.035257000000001426,-1.0,100.0,False
105,0.03529099999997243,-1.0,100.0,False
106,0.03517599999997856,-1.0,100.0,False
107,0.03786000000002332,-1.0,100.0,False
108,0.0373819999999796,-1.0,100.0,False
109,0.03585099999997965,-1.0,100.0,False
110,0.03526499999998123,-1.0,100.0,False
111,0.034736000000009426,-1.0,100.0,False
112,0.03485200000000077,-1.0,100.0,False
113,0.03444600000000264,-1.0,100.0,False
114,0.03491900000000214,-1.0,100.0,False
115,0.03477299999997285,-1.0,100.0,False
116,0.034645000000011805,-1.0,100.0,False
117,0.034639000000026954,-1.0,100.0,False
118,0.03506199999998216,-1.0,100.0,False
119,0.03554700000000821,-1.0,100.0,False
120,0.034623000000010506,-1.0,100.0,False
121,0.03499000000005026,-1.0,100.0,False
122,0.04790400000001682,-1.0,100.0,False
123,0.036639999999977135,-1.0,100.0,False
124,0.03862299999997276,-1.0,100.0,False
125,0.035797999999999774,-1.0,100.0,False
126,0.035245999999972355,-1.0,100.0,False
127,0.03615100000001803,-1.0,100.0,False
128,0.0352020000000266,-1.0,100.0,False
129,0.03504000000003771,-1.0,100.0,False
130,0.036695000000008804,-1.0,100.0,False
131,0.04668099999997821,-1.0,100.0,False
132,0.04445299999997587,-1.0,100.0,False
133,0.04202500000002374,-1.0,100.0,False
134,0.0353799999999751,-1.0,100.0,False
135,0.03622100000001183,-1.0,100.0,False
136,0.036055999999973665,-1.0,100.0,False
137,0.0393839999999841,-1.0,100.0,False
138,0.03760099999999511,-1.0,100.0,False
139,0.03531700000002047,-1.0,100.0,False
140,0.03481699999997545,-1.0,100.0,False
141,0.034837999999979274,-1.0,100.0,False
142,0.0363619999999969,-1.0,100.0,False
143,0.03863200000000688,-1.0,100.0,False
144,0.03697399999998652,-1.0,100.0,False
145,0.0383719999999812,-1.0,100.0,False
146,0.04946100000000797,-1.0,100.0,False
147,0.03965299999998706,-1.0,100.0,False
148,0.03477200000003222,-1.0,100.0,False
149,0.03862700000001951,-1.0,100.0,False
150,0.03850700000003826,-1.0,100.0,False
151,0.046012000000018816,-1.0,100.0,False
152,0.038788000000010925,-1.0,100.0,False
153,0.03739899999999352,-1.0,100.0,False
154,0.04033499999997048,-1.0,100.0,False
155,0.042990999999972246,-1.0,100.0,False
156,0.03714899999999943,-1.0,100.0,False
157,0.03517099999999118,-1.0,100.0,False
158,0.03705400000001191,-1.0,100.0,False
159,0.03912299999996094,-1.0,100.0,False
160,0.042705000000012205,-1.0,100.0,False
161,0.0398349999999823,-1.0,100.0,False
162,0.03704400000003716,-1.0,100.0,False
163,0.03725599999995666,-1.0,100.0,False
164,0.0408509999999751,-1.0,100.0,False
165,0.0357890000000225,-1.0,100.0,False
166,0.034825000000012096,-1.0,100.0,False
167,0.03563499999995656,-1.0,100.0,False
168,0.03504800000001751,-1.0,100.0,False
169,0.03472199999998793,-1.0,100.0,False
170,0.03748399999994945,-1.0,100.0,False
171,0.0362220000000093,-1.0,100.0,False
172,0.048064000000010765,-1.0,100.0,False
173,0.041774000000032174,-1.0,100.0,False
174,0.03543899999999667,-1.0,100.0,False
175,0.035855000000026394,-1.0,100.0,False
176,0.03506299999997964,-1.0,100.0,False
177,0.036875000000009095,-1.0,100.0,False
178,0.041717000000005555,-1.0,100.0,False
179,0.04758699999996452,-1.0,100.0,False
180,0.040521000000012464,-1.0,100.0,False
181,0.039651999999989584,-1.0,100.0,False
182,0.044964999999990596,-1.0,100.0,False
183,0.04002500000001419,-1.0,100.0,False
