episode,length,time,reward,delta
0,13.0,0.0013780000000451764,0.0,-0.0006098362648413866
1,53.0,0.004156999999963773,0.0,-0.00018000455841868585
2,12.0,0.0012530000000197106,0.0,3.343402070700831e-05
3,48.0,0.004508999999984553,0.0,0.00018925301646681645
4,9.0,0.001810999999975138,0.0,-0.0003207717265759531
5,9.0,0.0009079999999812571,0.0,0.00013834793368770444
6,11.0,0.0009320000000343498,0.0,-0.0003049181324206932
7,19.0,0.0016580000000203654,0.0,0.00014899577212831123
8,61.0,0.00504399999999805,0.0,-0.00013076702032056706
9,11.0,0.0008669999999710853,0.0,3.926619188808196e-05
10,4.0,0.000367999999980384,0.0,0.00045796123205498753
11,8.0,0.0010780000000067957,0.0,1.9633095944040927e-05
12,15.0,0.002053000000046268,0.0,5.561714315626537e-05
13,7.0,0.0005889999999908468,0.0,0.00018543611161361086
14,22.0,0.0016219999999975698,0.0,0.0004511102743423405
15,21.0,0.0015519999999469292,0.0,9.610281678146807e-05
16,27.0,0.002396999999973559,0.0,0.00012293040324469213
17,27.0,0.0021060000000261425,0.0,9.101855746956091e-05
18,20.0,0.0014949999999771535,0.0,9.271805580680545e-05
19,20.0,0.0014779999999063875,0.0,-0.00024509572274891147
20,11.0,0.001276000000075328,0.0,6.290367984379314e-05
21,30.0,0.0022320000000490836,0.0,-2.6723870305798763e-05
22,8.0,0.0006569999999328502,0.0,4.635902790340273e-05
23,11.0,0.0008550000000013824,0.0,-4.551891616704287e-05
24,12.0,0.0011650000000145155,0.0,6.146520162234607e-05
25,18.0,0.0015260000000125729,0.0,-0.00012254786137445574
26,26.0,0.0019969999999602805,0.0,0.00011898069660262351
27,8.0,0.0006490000000667351,0.0,0.00014232025398038667
28,16.0,0.0012020000000347864,0.0,-1.3361935152899382e-05
29,16.0,0.0016509999999243519,0.0,7.116012699019333e-05
30,36.0,0.003482999999960157,0.0,3.558006349509667e-05
31,19.0,0.0014489999999796055,0.0,0.000544532150843326
32,8.0,0.0006509999999479987,0.0,8.723532152427678e-05
33,11.0,0.0009689999999409338,0.0,0.00014157523799790883
34,55.0,0.004186000000004242,0.0,0.00029881602912109706
35,32.0,0.0024750000000040018,0.0,0.0002595411359670823
36,27.0,0.0022969999999986612,0.0,-6.680967576449691e-06
37,11.0,0.0008579999999938082,0.0,0.00018424267012401546
38,17.0,0.001280000000065229,0.0,1.6717010353504156e-05
39,8.0,0.0006469999999580978,0.0,0.00015617035098389772
40,11.0,0.0008509999998977946,0.0,-0.00013999443162483418
41,9.0,0.0011100000000396903,0.0,0.00021545483197241193
42,102.0,0.008065999999985252,0.0,-0.00028173272792926995
43,8.0,0.0008100000000013097,0.0,-3.3404837882248725e-06
44,25.0,0.002036999999972977,0.0,-6.999721581241706e-05
45,16.0,0.0012140000000044893,0.0,0.00027897721547800346
46,31.0,0.0035690000000840882,0.0,4.550927873478048e-05
47,16.0,0.001542999999969652,0.0,-0.00021552544968430243
48,13.0,0.0010309999998980857,0.0,0.00024114794956375005
49,19.0,0.0015419999999721767,0.0,0.0003066519673108047
50,31.0,0.0024950000000671935,0.0,9.462650823340821e-05
51,26.0,0.0019100000000662476,0.0,4.731325411670413e-05
52,16.0,0.0014519999999720312,0.0,0.00012042388094710675
53,21.0,0.0019419999999854554,0.0,0.00015332598365540236
54,16.0,0.0015750000000025466,0.0,2.3656627058352066e-05
55,9.0,0.001007999999956155,0.0,-1.6702418941124363e-06
56,26.0,0.0022700000000668297,0.0,3.145183992189657e-05
57,56.0,0.004612000000065564,0.0,6.902809662936592e-05
58,15.0,0.0011419999999588981,0.0,0.00033013165938996223
59,17.0,0.001393000000007305,0.0,6.0211940473553374e-05
60,16.0,0.0013650000000779983,0.0,0.000347918143115064
61,51.0,0.0038499999999430656,0.0,8.198391040815608e-05
62,41.0,0.0056019999999534775,0.0,-0.00012872365027534694
63,26.0,0.0020980000000463406,0.0,0.00041852521027843523
64,12.0,0.0013290000000552027,0.0,4.099195520407804e-05
65,67.0,0.007871000000022832,0.0,2.0495977602039074e-05
66,5.0,0.0005660000000489163,0.0,0.00042707572009430614
67,7.0,0.0009190000000671716,0.0,0.00021353786004715304
68,10.0,0.0008380000000443033,0.0,0.0001580640747422489
69,31.0,0.0031749999999419742,0.0,0.0002338055270777313
70,10.0,0.0008039999999027714,0.0,0.0004070510461269012
71,19.0,0.0014069999999719585,0.0,0.00016506582969498111
72,12.0,0.0009159999999610591,0.0,0.0003981164471319388
73,19.0,0.002403999999955886,0.0,0.0002916617535098551
74,29.0,0.002613999999994121,0.0,4.813462085495249e-05
75,4.0,0.00042600000006132177,0.0,0.00010676893002357652
76,24.0,0.0019059999999626598,0.0,0.00015341627281943433
77,34.0,0.002967999999896165,0.0,2.4067310427476217e-05
78,4.0,0.0003790000000662985,0.0,0.00040917033402575285
79,13.0,0.0010060000000748914,0.0,0.00023011326233052113
80,50.0,0.0045440000000098735,0.0,1.0247988801019591e-05
81,18.0,0.001527000000010048,0.0,0.00031796819319303846
82,17.0,0.001442999999994754,0.0,0.000335710038293258
83,16.0,0.0014119999999593347,0.0,0.0001620118591992484
84,13.0,0.001033000000006723,0.0,-2.594455775408838e-05
85,7.0,0.0006990000000541841,0.0,0.00027587434507685
86,9.0,0.000795000000039181,0.0,0.00013793717253842504
87,16.0,0.0012080000000196378,0.0,0.000363854577780948
88,7.0,0.0005750000000261934,0.0,8.100592959962421e-05
89,11.0,0.0008559999999988577,0.0,4.050296479981208e-05
90,15.0,0.0015200000000277214,0.0,0.00014565862434006354
91,13.0,0.0013989999999921565,0.0,0.00011505663116526056
92,21.0,0.0015750000000025466,0.0,-0.00016055129153415276
93,8.0,0.0006529999999429492,0.0,0.0001567771319458892
94,12.0,0.0011200000000144428,0.0,7.282931217003174e-05
95,17.0,0.0018519999999853098,0.0,6.896858626921252e-05
96,20.0,0.0015920000000733125,0.0,0.00029127935220126514
97,5.0,0.0004940000000033251,0.0,0.00036220862383352774
98,25.0,0.0018499999999903594,0.0,2.023313568470141e-05
99,10.0,0.0007820000000720029,0.0,3.641465608501587e-05
100,8.0,0.001011999999946056,0.0,3.448429313460626e-05
101,13.0,0.001067000000034568,0.0,0.0002480978659147691
102,29.0,0.0021150000000034197,0.0,8.910834114564641e-05
103,31.0,0.0022569999999859647,0.0,0.0004288926654698209
104,18.0,0.0019439999999804058,0.0,0.00043055997904444763
105,8.0,0.0007689999999911379,0.0,0.0002753394588178628
106,25.0,0.0018390000000181317,0.0,-7.24399310161505e-05
107,4.0,0.00040999999998803105,0.0,0.0002152799895222238
108,23.0,0.0018000000000029104,0.0,7.670813640971717e-05
109,48.0,0.0037630000000490327,0.0,-0.00047174540400239824
110,4.0,0.0003889999999273641,0.0,0.0001376697294089314
111,11.0,0.001011999999946056,0.0,0.00027500135009920086
112,33.0,0.0029130000000350265,0.0,0.00016293258092246027
113,6.0,0.000573000000031243,0.0,7.83885659729446e-05
114,56.0,0.0048199999999951615,0.0,6.456070726101187e-05
115,75.0,0.008528999999953157,0.0,0.0003829222041747542
116,29.0,0.0032099999999672946,0.0,0.00040727540784093
117,6.0,0.0005850000000009459,0.0,0.00026452045220849116
118,14.0,0.0013259999999490901,0.0,0.0003244830654311273
119,6.0,0.0010019999999713036,0.0,0.0004230933633164456
120,13.0,0.0014039999999795327,0.0,0.00041970458201797
121,32.0,0.0025229999999965003,0.0,0.00018185964160870782
122,17.0,0.001488999999992302,0.0,1.609983298171382e-05
123,30.0,0.002688999999918451,0.0,0.0003138584380213701
124,9.0,0.0007800000000770524,0.0,8.498572798921252e-05
125,53.0,0.004199000000085107,0.0,0.0004317517223635792
126,8.0,0.001192000000060034,0.0,0.0004334483842385423
127,13.0,0.0013370000000350046,0.0,0.00021073036620567628
128,15.0,0.0011600000000271393,0.0,0.0004396288002451933
129,32.0,0.003179000000045562,0.0,0.00032164613037674963
130,20.0,0.0015120000000479195,0.0,0.00030484304460936997
131,11.0,0.0008960000000115542,0.0,0.0002035255230634506
132,11.0,0.0008550000000013824,0.0,0.00042202066341822915
133,10.0,0.0010220000000344953,0.0,0.00021101033170911458
134,13.0,0.0012189999999918655,0.0,0.0002679890439578925
135,34.0,0.003404000000045926,0.0,-8.40850851378368e-05
136,11.0,0.0009339999999156134,0.0,4.249286399460626e-05
137,43.0,0.0036989999999832435,0.0,0.00010550516585455729
138,6.0,0.0005360000000109721,0.0,0.00016082306518837481
139,16.0,0.0013559999999870342,0.0,0.00029249848040418017
140,20.0,0.0017410000000381842,0.0,0.00040966892977368184
141,6.0,0.0005649999999377542,0.0,-4.20425425689184e-05
142,20.0,0.0018580000000838481,0.0,0.0002762967675897642
143,20.0,0.002509000000031847,0.0,0.00022250017539538543
144,13.0,0.0011969999999337233,0.0,0.00031971687190469997
145,8.0,0.0010610000000497166,0.0,0.00036667034954307253
146,7.0,0.0008559999999988577,0.0,0.00042855625343507167
147,21.0,0.0015650000000277942,0.0,0.00028905776772089896
148,17.0,0.0014760000000251239,0.0,0.00014452888386044945
149,14.0,0.0010680000000320433,0.0,0.0001833351747715363
150,10.0,0.0007889999999406427,0.0,0.0002951540673083504
151,16.0,0.001446999999984655,0.0,2.1246431997303103e-05
152,16.0,0.002329000000031556,0.0,0.00011895200381765823
153,9.0,0.00089900000000398,0.0,7.226444193022473e-05
154,105.0,0.010088999999993575,0.0,0.00038893527616606796
155,6.0,0.0006810000000996297,0.0,0.00019705833583232382
156,27.0,0.002881999999999607,0.0,0.00019446763808303404
157,7.0,0.0006289999998898566,0.0,0.00030851756369356786
158,17.0,0.0021009999999250795,0.0,9.166758738576815e-05
159,12.0,0.0009469999999964784,0.0,0.00011867408171461336
160,11.0,0.0008689999999660358,0.0,0.00015425878184678393
161,22.0,0.0017490000000179862,0.0,9.723381904151702e-05
162,5.0,0.00044200000002092565,0.0,5.9337040857306705e-05
163,7.0,0.0006039999999529755,0.0,0.000300679889563774
164,6.0,0.0005049999999755528,0.0,7.712939092339196e-05
165,12.0,0.001220999999986816,0.0,0.000150339944781887
166,8.0,0.0010640000000421423,0.0,0.00011998335644844741
167,25.0,0.0027789999999185966,0.0,8.826940630018336e-05
168,17.0,0.002028999999993175,0.0,0.00018426217730863176
169,18.0,0.0016030000000455402,0.0,0.0001313248017579895
170,8.0,0.0007579999999052234,0.0,6.566240087899474e-05
171,6.0,0.0006799999999884676,0.0,0.00030980826817596403
172,4.0,0.0005130000000690416,0.0,0.0003041802100247218
173,49.0,0.0037280000000237123,0.0,4.8616909520758536e-05
174,46.0,0.006339000000025408,0.0,2.4308454760379214e-05
175,18.0,0.001920000000041,0.0,0.0001017627615317253
176,19.0,0.001510000000052969,0.0,0.00014422068381866838
177,24.0,0.0017639999999801148,0.0,0.00021296162285771753
178,16.0,0.0011990000000423606,0.0,0.0002504767237497292
179,65.0,0.0054520000001048174,0.0,0.0001252383618748646
180,9.0,0.0008579999999938082,0.0,0.00010648081142885878
181,20.0,0.0025599999999030842,0.0,0.00017047465579908864
182,27.0,0.0023219999999355423,0.0,0.0004226226187116841
183,36.0,0.002934999999979482,0.0,5.324040571442936e-05
184,26.0,0.0021600000000034925,0.0,0.0003320554656099697
185,19.0,0.0014319999999088395,0.0,0.00019129773186895253
186,16.0,0.0012179999999943902,1.0,0.9994522827318987
187,32.0,0.0023320000000239816,0.0,0.00013400778264795752
188,18.0,0.0013410000000249056,0.0,0.00016393450705381855
189,7.0,0.0005699999999251304,0.0,0.0004016208742001039
190,6.0,0.0005009999999856518,0.0,0.0003071769772973412
191,6.0,0.0005029999999806023,0.0,-7.410054488845712e-05
