episode,length,time,reward,delta
0,47.0,0.00767999999999347,0.0,-0.0005248343468731127
1,14.0,0.002392999999983658,0.0,-0.0005672687485721992
2,46.0,0.0041789999999934935,0.0,-0.0005105418737149793
3,11.0,0.0014030000000104792,0.0,-0.0004274752807666359
4,14.0,0.002008999999986827,0.0,-0.0003688147731417613
5,10.0,0.0014280000000042037,0.0,-0.00045948768634348136
6,19.0,0.003002000000009275,0.0,-0.00041353891770913326
7,12.0,0.0021790000000123655,0.0,3.1650984260850297e-05
8,18.0,0.0014669999999910033,0.0,-0.0004081835724793029
9,27.0,0.003353000000004158,0.0,-0.00016344362460538183
10,42.0,0.004391999999995733,0.0,-0.000591468568890016
11,36.0,0.002640999999982796,0.0,-0.00016025274283661494
12,44.0,0.0050160000000119,0.0,-0.000301195481489243
13,55.0,0.006039000000015449,1.0,0.9998274139586836
14,13.0,0.001050999999989699,0.0,-0.00014709926214484363
15,15.0,0.0018469999999979336,0.0,-0.00013238933593035928
16,22.0,0.002711000000005015,0.0,-0.0003847277526899723
17,28.0,0.002720000000010714,0.0,-0.000396282438250148
18,25.0,0.004135999999988371,0.0,-9.370769832316712e-05
19,32.0,0.0023450000000195814,0.0,-8.433692849085038e-05
20,77.0,0.009979999999984557,0.0,-0.00019353122350604013
21,61.0,0.006123000000002321,0.0,-0.00021929494951969934
22,54.0,0.0041279999999801475,1.0,0.8998446725628152
23,13.0,0.0010210000000085984,0.0,-0.0001973654545677294
24,38.0,0.005002999999987878,0.0,-0.00031405374613465375
25,20.0,0.00197400000001835,0.0,7.685595820509743e-06
26,22.0,0.0020299999999906504,0.0,-0.00018006704757629637
27,24.0,0.003350999999980786,0.0,-0.0005784860382757936
28,33.0,0.005274999999983265,0.0,-0.00017762890911095648
29,19.0,0.0017510000000129367,0.0,-0.00015986601819986083
30,82.0,0.0059489999999868814,0.0,-0.00014504662174061038
31,10.0,0.0008239999999943848,0.0,2.5933069796723262e-05
32,13.0,0.0010430000000098971,0.0,-0.000608192855752988
33,100.0,0.011730000000000018,0.0,-0.00014387941637987472
34,22.0,0.001642000000003918,0.0,-6.872653717017232e-05
35,34.0,0.003430000000008704,0.0,-3.505274965306344e-05
36,50.0,0.006440999999995256,0.0,2.900592544911228e-05
37,19.0,0.0014510000000029777,0.0,4.161339316101351e-05
38,33.0,0.002469999999988204,0.0,3.7452053844912165e-05
39,98.0,0.01239599999999541,0.0,-0.0006076862058987142
40,28.0,0.003152999999997519,0.0,-9.988506959692243e-06
41,11.0,0.0010019999999997253,0.0,-8.989656263723016e-06
42,29.0,0.0022469999999827905,0.0,-0.0003265663457370384
