episode,length,time,reward,delta
0,500.0,0.04224099999998998,-2481.0,-0.857407893793025
1,500.0,0.03573400000004767,-3174.0,-0.12875752334135315
2,204.0,0.014196000000083586,-797.0,100.00021989353844
3,39.0,0.0027840000000196596,-38.0,50.00010994676923
4,101.0,0.007389999999986685,-100.0,25.000054973384607
5,126.0,0.008951999999908367,-422.0,12.500027486692304
6,105.0,0.007782000000020162,-401.0,6.250013743346159
7,39.0,0.0027999999999792635,-38.0,3.1250068716730794
8,74.0,0.005302000000028784,-271.0,1.5625034358365326
9,21.0,0.0015449999999646025,79.0,0.7812517179182663
10,29.0,0.0023410000000012587,71.0,0.39062585895914026
11,66.0,0.004663000000050488,-65.0,0.19531292947957013
12,16.0,0.001483999999891239,84.0,0.09765646473978506
13,21.0,0.0015409999999747015,79.0,0.04882823236988543
14,67.0,0.004716000000030363,-165.0,0.024414116184942714
15,42.0,0.0029759999999896536,-140.0,0.012207058092471357
16,70.0,0.004891999999927066,-564.0,0.006103529046242784
17,71.0,0.004978999999934786,-169.0,0.003051764523121392
18,38.0,0.002701999999999316,-37.0,0.001525882261560696
19,27.0,0.0019369999999980791,73.0,0.0007629411307732425
20,49.0,0.0034479999999348365,-147.0,0.0003814705653866213
21,33.0,0.0023529999999709617,-131.0,0.00019073528270041606
22,14.0,0.0010399999999890497,86.0,9.536764135020803e-05
23,30.0,0.0021510000000262153,-29.0,4.768382066799859e-05
24,14.0,0.001153999999928601,86.0,2.3841910333999294e-05
25,64.0,0.0044889999999213615,-360.0,1.192095515989422e-05
26,18.0,0.001316999999971813,82.0,5.96047757994711e-06
27,18.0,0.0013219999999591892,82.0,2.980238789973555e-06
28,46.0,0.0032509999999774664,-144.0,1.4901193878813501e-06
29,42.0,0.0031770000000506116,-41.0,7.450596939406751e-07
30,22.0,0.0017869999999220454,-21.0,3.725298540757649e-07
31,14.0,0.0011700000000018917,86.0,1.8626492703788244e-07
32,54.0,0.0048949999999194915,-152.0,9.313245641351386e-08
33,27.0,0.0037460000000919536,-224.0,4.656622820675693e-08
34,17.0,0.002345999999988635,83.0,2.3283121208805824e-08
35,17.0,0.002496999999948457,83.0,1.1641560604402912e-08
36,61.0,0.006381000000033055,-258.0,5.820780302201456e-09
37,23.0,0.0019150000000536238,-22.0,2.9103830456733704e-09
38,22.0,0.0017699999999649663,-21.0,1.4551915228366852e-09
39,17.0,0.0013079999999945358,83.0,7.275957614183426e-10
40,16.0,0.0012299999999640931,84.0,3.637978807091713e-10
41,19.0,0.0014069999999719585,-18.0,1.8189894035458565e-10
42,23.0,0.0016840000000684086,77.0,9.094947017729282e-11
43,14.0,0.0014099999999643842,86.0,4.547473508864641e-11
44,22.0,0.0022099999999909414,-120.0,2.2737367544323206e-11
45,16.0,0.002316999999948166,84.0,1.1368683772161603e-11
46,37.0,0.0039669999999887295,-135.0,5.6843418860808015e-12
47,35.0,0.002525999999988926,-34.0,2.8421709430404007e-12
48,22.0,0.0016180000000076689,78.0,1.4210854715202004e-12
49,28.0,0.0020339999999805514,-225.0,7.105427357601002e-13
50,20.0,0.0014750000000276486,-19.0,3.552713678800501e-13
51,15.0,0.0011319999999841457,85.0,1.7053025658242404e-13
52,14.0,0.0011070000000472646,86.0,8.526512829121202e-14
53,20.0,0.0014820000000099753,80.0,4.263256414560601e-14
54,35.0,0.0025099999999156353,-232.0,2.842170943040401e-14
55,20.0,0.0014650000000528962,80.0,1.4210854715202004e-14
56,14.0,0.0010509999999612774,86.0,0.0
57,16.0,0.0011869999999589709,84.0,0.0
58,52.0,0.0036619999999629727,-249.0,0.0
59,14.0,0.0010499999999638021,86.0,0.0
60,14.0,0.0010530000000699147,86.0,0.0
61,29.0,0.002104000000031192,71.0,0.0
62,14.0,0.001046000000087588,86.0,0.0
63,21.0,0.0023770000000240543,79.0,0.0
64,38.0,0.003022999999984677,-235.0,0.0
65,18.0,0.0014630000000579457,82.0,0.0
66,22.0,0.0025489999999308566,78.0,0.0
67,46.0,0.004025000000069667,-243.0,0.0
68,14.0,0.0010669999999208812,86.0,0.0
69,31.0,0.0022430000000213113,-30.0,0.0
70,17.0,0.0012659999999868887,-16.0,0.0
71,46.0,0.0032759999999143474,-243.0,0.0
72,16.0,0.0011969999999337233,84.0,0.0
73,18.0,0.0013649999999643114,82.0,0.0
74,53.0,0.00390099999992799,-250.0,0.0
75,21.0,0.0015650000000277942,79.0,0.0
76,28.0,0.0020719999999982974,-27.0,0.0
77,25.0,0.00181899999995494,75.0,0.0
78,30.0,0.002146000000038839,-128.0,0.0
79,29.0,0.0020729999999957727,-28.0,0.0
80,57.0,0.004030999999940832,-452.0,0.0
81,16.0,0.0014189999999416614,84.0,0.0
82,16.0,0.0012040000000297368,84.0,0.0
83,16.0,0.0012000000000398359,84.0,0.0
84,18.0,0.001329999999938991,82.0,0.0
85,32.0,0.002300999999988562,-31.0,0.0
86,14.0,0.0010590000000547661,86.0,0.0
87,14.0,0.0010700000000269938,86.0,0.0
88,16.0,0.001196000000049935,84.0,0.0
89,16.0,0.0011939999999412976,84.0,0.0
90,17.0,0.0012639999999919382,83.0,0.0
91,17.0,0.001266999999984364,83.0,0.0
92,16.0,0.0011869999999589709,84.0,0.0
93,34.0,0.0025960000000395667,-33.0,0.0
94,122.0,0.009534000000030574,-517.0,0.0
95,15.0,0.0012520000000222353,-14.0,0.0
96,60.0,0.004692999999974745,-158.0,0.0
97,21.0,0.0017199999999775173,79.0,0.0
98,33.0,0.002636000000052263,-32.0,0.0
99,31.0,0.0024949999999535066,-30.0,0.0
100,16.0,0.001297000000022308,84.0,0.0
101,18.0,0.0013420000000223808,-116.0,0.0
102,20.0,0.0015019999999594802,-19.0,0.0
103,14.0,0.0010589999999410793,86.0,0.0
