params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",3.5779939999999897,100,5.321411764705883,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3957614417808552
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",4.087251000000009,100,2.03,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",4.084437000000008,100,1.9626666666666663,-1.0,-1.0,5.733333333333333,3.342338768653537
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",37.791169000000025,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",7.555989000000011,100,2.097333333333333,-1.0,-1.0,5.733333333333333,3.3558760406189014
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",4.049870999999996,100,5.313490196078432,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39536484739144956
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",4.2990330000000085,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.36599326598653
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",4.394097000000045,100,2.5686666666666667,5.733333333333333,-1.0,5.733333333333333,3.3606012028273224
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",3.778693999999973,100,2.097333333333333,-1.0,-1.0,5.733333333333333,3.3558760406189014
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",3.760119999999972,100,2.5013333333333327,5.733333333333333,-1.0,5.733333333333333,3.36397225513727
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",3.745587999999998,100,1.9626666666666663,-1.0,-1.0,5.733333333333333,3.342338768653537
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",3.698034000000007,100,2.3666666666666667,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.6294170000000463,100,2.5686666666666667,5.733333333333333,-1.0,5.733333333333333,3.360601202827322
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",39.37312200000002,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",5.204388999999992,100,2.097333333333333,-1.0,-1.0,5.733333333333333,3.3558760406189014
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",4.38928599999997,100,2.3666666666666663,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",3.7338000000000306,100,5.361019607843138,5.733333333333333,4.9411764705882355,5.733333333333333,0.39536484739144956
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",4.037959999999998,100,2.3666666666666663,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",3.9516289999999685,100,2.7706666666666666,5.733333333333333,-1.0,5.733333333333333,3.342338768653537
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",3.9525790000000143,100,2.097333333333333,-1.0,-1.0,5.733333333333333,3.355876040618902
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",3.6354919999999993,100,5.313490196078432,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39536484739144956
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",3.9501469999999586,100,2.3666666666666663,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.8029849999999783,100,2.3666666666666667,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",39.50694499999997,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",4.881692999999984,100,1.8953333333333333,-1.0,-1.0,5.733333333333333,3.3335100619817144
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",4.403210000000001,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.36599326598653
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",4.001705000000015,100,5.337254901960786,5.337254901960785,4.9411764705882355,5.733333333333333,0.39607843137254894
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",4.284831999999994,100,2.299333333333333,-1.0,-1.0,5.733333333333333,3.3659932659865293
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",4.1555700000000115,100,2.3666666666666667,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",4.151879000000008,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.3659932659865297
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",4.188793000000032,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.3659932659865297
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",4.128820000000019,100,2.097333333333333,-1.0,-1.0,5.733333333333333,3.3558760406189014
