step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.009009009009009009,0.003003003003003003,0.0,0.0042468875746939794,0.009009009009009009,0.0
3,0.017543859649122806,0.006638217164532953,0.0045045045045045045,0.0072918712656376,0.017543859649122806,0.0
4,0.0,0.005310573731626363,0.0,0.007041850437453569,0.017543859649122806,0.0
5,0.013513513513513514,0.006677730361940888,0.0045045045045045045,0.0071181903771454225,0.017543859649122806,0.0
6,0.024390243902439025,0.009208089439154908,0.009009009009009009,0.009046908879963747,0.024390243902439025,0.0
7,0.010526315789473684,0.009372867732944754,0.009767662399241346,0.008473830506317736,0.024390243902439025,0.0
8,0.0,0.008331437984839781,0.009009009009009009,0.00851492737527288,0.024390243902439025,0.0
9,0.01639344262295082,0.009137638448650886,0.009767662399241346,0.00843227265191286,0.024390243902439025,0.0
10,0.006711409395973154,0.008917072171134728,0.009009009009009009,0.008070054995123426,0.024390243902439025,0.0
11,0.025,0.010257316156873501,0.009767662399241346,0.008913889836094115,0.025,0.0
12,0.0,0.009468291837114,0.009009009009009009,0.008989773878216749,0.025,0.0
13,0.034482758620689655,0.01125503946451226,0.009767662399241346,0.010795625622873865,0.034482758620689655,0.0
14,0.0,0.010504703500211442,0.009009009009009009,0.01080082808154816,0.034482758620689655,0.0
15,0.014705882352941176,0.010767277178507053,0.009767662399241346,0.010507185319685626,0.034482758620689655,0.0
16,0.012345679012345678,0.010860124345203443,0.010526315789473684,0.010200230377116804,0.034482758620689655,0.0
17,0.011627906976744186,0.010902778935844595,0.011077111383108934,0.00991440208429077,0.034482758620689655,0.0
18,0.00510204081632653,0.010597476929554171,0.010526315789473684,0.009736513539377593,0.034482758620689655,0.0
19,0.0,0.010067603083076462,0.009767662399241346,0.00976699906203536,0.034482758620689655,0.0
20,0.0,0.009588193412453774,0.009009009009009009,0.00976976760243253,0.034482758620689655,0.0
21,0.0,0.00915236643916042,0.007860209202491081,0.009751853433897175,0.034482758620689655,0.0
22,0.023809523809523808,0.00978963415091535,0.009009009009009009,0.009994915941874214,0.034482758620689655,0.0
23,0.0,0.009381732727960543,0.007860209202491081,0.009978112836909641,0.034482758620689655,0.0
24,0.0,0.009006463418842122,0.006711409395973154,0.009947867895154528,0.034482758620689655,0.0
25,0.0,0.008660060979655885,0.005906725106149842,0.009907259214846857,0.034482758620689655,0.0
26,0.0,0.00833931798040937,0.00510204081632653,0.009858663075434858,0.034482758620689655,0.0
27,0.014705882352941176,0.008566695279428365,0.005906725106149842,0.009752843808423239,0.034482758620689655,0.0
28,0.034482758620689655,0.009460352636023583,0.006711409395973154,0.01068641613466133,0.034482758620689655,0.0
29,0.023809523809523808,0.009938658341806924,0.007860209202491081,0.010817918202704578,0.034482758620689655,0.0
30,0.0,0.009618056459813153,0.006711409395973154,0.010785909572182891,0.034482758620689655,0.0
31,0.015384615384615385,0.00979826142621322,0.007860209202491081,0.010663350264390454,0.034482758620689655,0.0
32,0.0,0.009501344413297669,0.006711409395973154,0.010634024723437462,0.034482758620689655,0.0
33,0.012195121951219513,0.009580573164413016,0.007860209202491081,0.010486356560129919,0.034482758620689655,0.0
34,0.0,0.009306842502572644,0.006711409395973154,0.010457983687575287,0.034482758620689655,0.0
35,0.020833333333333332,0.009627022803427109,0.007860209202491081,0.010484246428047945,0.034482758620689655,0.0
36,0.017543859649122806,0.009840991366824288,0.009009009009009009,0.01042097882177042,0.034482758620689655,0.0
37,0.0,0.009582017909802598,0.007860209202491081,0.010402907160560637,0.034482758620689655,0.0
38,0.01694915254237288,0.00977091879781722,0.009009009009009009,0.010334484413084863,0.034482758620689655,0.0
39,0.0,0.00952664582787179,0.007860209202491081,0.010317879188679189,0.034482758620689655,0.0
40,0.016129032258064516,0.009687679643242344,0.009009009009009009,0.010242038594217835,0.034482758620689655,0.0
41,0.01282051282051282,0.009762270909367833,0.009767662399241346,0.010130640109173174,0.034482758620689655,0.0
42,0.01282051282051282,0.009833392814278181,0.010526315789473684,0.010022752992396378,0.034482758620689655,0.0
43,0.0,0.009609906613953677,0.009767662399241346,0.010015996093915937,0.034482758620689655,0.0
44,0.015151515151515152,0.009733053470343932,0.010526315789473684,0.009937711355862529,0.034482758620689655,0.0
45,0.0,0.009521465351423411,0.009767662399241346,0.009931053346252492,0.034482758620689655,0.0
46,0.017241379310344827,0.0096857188399111,0.010526315789473684,0.009887792597037898,0.034482758620689655,0.0
47,0.0,0.009483933030746287,0.009767662399241346,0.009881564804818908,0.034482758620689655,0.0
48,0.012195121951219513,0.009539263416878394,0.010526315789473684,0.009787722461141925,0.034482758620689655,0.0
49,0.020833333333333332,0.009765144815207493,0.011077111383108934,0.009817515910670054,0.034482758620689655,0.0
50,0.023809523809523808,0.010040524795488203,0.011627906976744186,0.009913901878555034,0.034482758620689655,0.0
51,0.0,0.009847437780190354,0.011077111383108934,0.009914472149864186,0.034482758620689655,0.0
