params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.760926999999999,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",2.8809739999999984,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.2}",1.300726000000001,100,5.329333333333334,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39599920776312103
"{""discount_factor"": 0.3}",1.2900819999999982,100,5.384784313725492,5.733333333333333,4.9411764705882355,5.733333333333333,0.39321632572394544
"{""discount_factor"": 0.4}",1.3139520000000005,100,5.281803921568627,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39217765435078983
"{""discount_factor"": 0.5}",1.3647179999999999,100,5.361019607843138,5.733333333333333,4.9411764705882355,5.733333333333333,0.39536484739144956
"{""discount_factor"": 0.6}",1.4433849999999993,100,5.4006274509803935,5.733333333333333,4.9411764705882355,5.733333333333333,0.3909757586210383
"{""discount_factor"": 0.7}",1.3537749999999988,100,5.376862745098041,5.733333333333333,4.9411764705882355,5.733333333333333,0.39409306332458266
"{""discount_factor"": 0.8}",1.385000999999999,100,5.281803921568628,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39217765435078983
"{""discount_factor"": 0.9}",1.4586090000000027,100,5.281803921568628,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39217765435078983
