params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.1068989999999985,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.207466999999994,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",2.099980000000002,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",1.2527769999999947,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",1.2868480000000062,100,0.0001098901098901099,0.0,0.0,0.01098901098901099,0.001093392788029253
"{""discount_factor"": 0.5}",1.1908530000000042,100,0.0031699596556649962,0.0,0.0,0.041666666666666664,0.00781924909960967
"{""discount_factor"": 0.6}",1.2069369999999964,100,0.009409730123897862,0.0,0.0,0.045454545454545456,0.011922900137644556
"{""discount_factor"": 0.7}",1.3181760000000082,100,0.00924584539736853,0.005268411712511091,0.0,0.04,0.010369855015068402
"{""discount_factor"": 0.8}",1.2564119999999974,100,0.012397249402206918,0.011561079925153702,0.0,0.043478260869565216,0.011396704714117944
"{""discount_factor"": 0.9}",1.4612240000000014,100,0.012653903277646561,0.011838049873914262,0.0,0.038461538461538464,0.00975182603390982
