,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.6681862831115722,0.09011879651486737,0.009427690505981445,0.006693929895348552,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.6153646457384774,0.6623731927470244,0.6016255291956226,0.61856724559785,0.6179955268089221,0.6231919322575602,0.02055528530840997,357,0.631486907847778,0.6217839387905881,0.625423569630715,0.6162741970791508,0.6328458443700334,0.6255628915436531,0.006143534982451336
1,0.7877837657928467,0.43038140625194854,0.0036064624786376954,0.002312081739497081,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.6297228213116064,0.6461578400830736,0.6056993370077483,0.6515683285869,0.6308710632896088,0.63279721787653,0.015995175145729984,338,0.6546370387066882,0.6441107229172145,0.6488792466533931,0.6323357413140694,0.6439277325203658,0.6447780964223463,0.007348454027687823
2,0.7191681385040283,0.2624788360589136,0.0027800559997558593,0.0006714794991606874,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.6139867401549645,0.6772106398274623,0.6457584471603164,0.651036861738398,0.5915795200386869,0.6359473194878262,0.029913470742617878,331,0.6657011908786957,0.6645666629099515,0.661727212392151,0.599590330550083,0.6427338947473635,0.646863858295649,0.025063905160510994
3,1.052194309234619,0.31776209037505376,0.004407501220703125,0.0028957192321874474,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.7755411774103363,0.7455068296189792,0.8148015017173896,0.7256728570855561,0.7867275181849321,0.7696543675217913,0.03124998543716885,308,0.7967855040885583,0.7511483025908813,0.8392689432360344,0.7688088313475311,0.7991385126692988,0.7910300187864607,0.03003397933695483
4,1.0338616847991944,0.24545751144048447,0.002176189422607422,0.00011442150507623995,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 9}",0.8436376707404744,0.8314961258886492,0.8146018052560108,0.8861758453331195,0.8985975941485824,0.8548487615103766,0.03219442135494777,276,0.8424402369235008,0.8322920971236084,0.844811350288641,0.8945116802701943,0.8992028587135789,0.8626516446639048,0.028282617808242497
5,1.0932772636413575,0.31547815312887795,0.0022394657135009766,0.00013249244577857812,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.8564581835609874,0.89244348590143,0.8541217349628564,0.8633829369058602,0.9157649761228315,0.8764049339875839,0.02394568582975936,266,0.8430569643237287,0.9198367081157568,0.897515559061823,0.8805923007161399,0.93840459293318,0.8958812250301257,0.03289050550316251
6,1.0495664119720458,0.09055585150593133,0.002334451675415039,0.00015684917413374505,0.1,"(50, 50)",13,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 13}",0.9529315440530394,0.9350387411135076,0.9216191389088585,0.9195078416429345,0.9110701404420801,0.9280524585772647,0.014632549771403798,192,0.948325757291158,0.9419424721690021,0.9442409557083286,0.9308721893861214,0.9455619971013044,0.9421886743311829,0.006022929513724732
7,1.8776294231414794,0.5636587778741821,0.0038152217864990236,0.0017648315227157452,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 15}",0.9356378304976436,0.9511941848390446,0.9435857496605161,0.9306185070795395,0.9354812710310504,0.9393108083429371,0.007257003828153292,160,0.96405700189088,0.9670216762462902,0.9633238163216751,0.9292178753479063,0.974603303513419,0.9596447346640341,0.01572879881553531
8,1.6259833812713622,0.5850004527385515,0.005531406402587891,0.004249830173968922,0.1,"(50, 50)",17,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 17}",0.8943805415768031,0.9478592539340204,0.9638150011981786,0.9421102242188439,0.8815611839851699,0.9259776965618426,0.0320606437192192,195,0.9155452872008716,0.9595182638967154,0.9800267979012486,0.9616349251024174,0.9312553101104503,0.9495961168423406,0.023087886204888535
9,1.5273315906524658,0.3836514486323883,0.004369163513183593,0.0015996965688810962,0.1,"(50, 50)",19,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 19}",0.9459221982586469,0.9686875948558191,0.9336408658838565,0.9407264048774618,0.929043502790707,0.9436184177273711,0.013816118925987483,129,0.9595182638967154,0.9848040873060596,0.95625680904617,0.9608656221659319,0.9628798290769153,0.9648649222983584,0.010199918310238998
10,1.8405831336975098,0.44302722742850076,0.004592990875244141,0.0017644032536841287,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 20}",0.9603402827701893,0.925692946720984,0.9610791596772906,0.9645220809434039,0.9544621088476495,0.9532131520228991,0.014145890539018952,84,0.9822670523560865,0.9518257635523498,0.9846556970584921,0.9807674265878601,0.976355639962017,0.9751743159033612,0.01198362891235558
