,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.15762534141540527,0.015231745295832495,0.0022781848907470702,0.0012457437934876884,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.903033088235294,0.823529411764706,0.7715992647058824,0.7863051470588235,0.803030303030303,0.8175290322022097,0.04617628929250515,1,0.8329282407407407,0.8107060185185185,0.8015480324074074,0.818113425925926,0.8193933823529411,0.8165378199891068,0.010372909939205139
1,0.14086623191833497,0.008107892378788494,0.0011653900146484375,9.43749762369623e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.5,0.5,0.49999999999999994,0.49999999999999994,0.5,0.5,3.51442144444263e-17,136,0.5,0.5000000000000001,0.5,0.5,0.49999999999999994,0.5,5.551115123125783e-17
2,0.14448962211608887,0.014937950190815735,0.002287769317626953,0.0017418219455050505,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.5,0.5,0.49999999999999994,0.5735294117647057,0.5,0.514735955731986,0.02943429573522397,120,0.5148148148148148,0.5074074074074075,0.5037037037037038,0.5385850694444445,0.5036764705882352,0.5136374931917211,0.01311856517206787
3,0.14917540550231934,0.05200622091505712,0.001956462860107422,0.001602483468088715,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.5,0.5,0.49999999999999994,0.49999999999999994,0.5,0.5,3.51442144444263e-17,136,0.5,0.5000000000000001,0.5,0.5,0.49999999999999994,0.5,5.551115123125783e-17
4,0.21951780319213868,0.03796636555226525,0.0012213706970214844,0.00012040845453624357,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.9324448529411766,0.703125,0.6539522058823529,0.7205882352941176,0.8925189393939394,0.7802968219728865,0.11065516776276899,5,0.9571035879629629,0.7325231481481481,0.590234375,0.6900318287037037,0.9111902573529411,0.7762166394335511,0.13774201330575223
5,0.12695436477661132,0.010981423802637842,0.0014731407165527344,0.0006644358777085537,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.5,0.5,0.49999999999999994,0.49999999999999994,0.5,0.5,3.51442144444263e-17,136,0.5,0.5000000000000001,0.5,0.5,0.49999999999999994,0.5,5.551115123125783e-17
6,0.14053697586059571,0.016362006197854377,0.0019751071929931642,0.0007829633090080742,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.6764705882352942,0.6755514705882353,0.49632352941176466,0.7127757352941176,0.7575757575757575,0.6635475218624353,0.08891585518697867,64,0.6494936342592591,0.6715133101851852,0.5607349537037037,0.7791232638888888,0.7397748161764705,0.6801279956427015,0.07566396989488826
7,0.1631913185119629,0.017111478823624116,0.0012859821319580079,0.00030584286260610104,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.6098345588235294,0.6608455882352942,0.6617647058823529,0.6098345588235293,0.5909090909090908,0.6267107651761206,0.029123575360225935,101,0.6074074074074074,0.6795283564814815,0.6313802083333333,0.6257233796296295,0.612017463235294,0.6312113630174291,0.025689345726745454
8,0.17969355583190919,0.03145995478813096,0.0016511917114257813,0.0008085518431189823,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.6098345588235294,0.6608455882352942,0.6617647058823529,0.6098345588235293,0.5909090909090908,0.6267107651761206,0.029123575360225935,101,0.6074074074074074,0.6795283564814815,0.6313802083333333,0.6257233796296295,0.612017463235294,0.6312113630174291,0.025689345726745454
9,0.1853250503540039,0.012912533179808382,0.0013541221618652345,0.00018021124074750564,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.6098345588235294,0.6608455882352942,0.6617647058823529,0.6098345588235293,0.5909090909090908,0.6267107651761206,0.029123575360225935,101,0.6074074074074074,0.6795283564814815,0.6313802083333333,0.6257233796296295,0.612017463235294,0.6312113630174291,0.025689345726745454
10,0.18275189399719238,0.03729194675216211,0.002285289764404297,0.0009159582633921379,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.6098345588235294,0.6608455882352942,0.6617647058823529,0.6098345588235293,0.5909090909090908,0.6267107651761206,0.029123575360225935,101,0.6074074074074074,0.6795283564814815,0.6313802083333333,0.6257233796296295,0.612017463235294,0.6312113630174291,0.025689345726745454
