,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.3925887107849121,0.10215715291398274,0.002486562728881836,0.0004342173680684953,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.5,0.5,0.5074087387171499,0.5812743171152381,0.5919825102258759,0.53606300145576,0.04143954239079962,315,0.5,0.5,0.5066306022014351,0.5733026863057823,0.5871770203408466,0.5334220617696127,0.038553626330208986
1,0.4580404758453369,0.20719266617944856,0.0022211074829101562,0.0001902745772693971,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.5,0.5,0.5,0.5877521960611287,0.609290938765641,0.5393245374737596,0.04872083682007112,312,0.5,0.5,0.5,0.5727585452043656,0.6179206856914389,0.5381358461791609,0.04884133535273524
2,0.46936631202697754,0.3917332267947623,0.0022437572479248047,0.0002327037149634317,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.4996006070772426,0.49999999999999994,0.5,0.5000000000000001,0.6301960547260673,0.5258777435755166,0.052057355633586155,328,0.5014081420539214,0.5,0.5,0.5000000000000001,0.6226123244539957,0.5248040933015835,0.04890715642825221
3,0.6342624664306641,0.2681945417420865,0.0020966529846191406,0.000156295699136587,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.6569015097052481,0.6096533269430466,0.6252695902228612,0.6221471260679476,0.6234358943359729,0.6274874910435826,0.01571376770263393,239,0.6429411322739398,0.6246928885382622,0.6223887699262433,0.6239797354348438,0.5917924434004698,0.6211589939147517,0.01648522480027721
4,0.3047974109649658,0.09378186995106748,0.0022185325622558595,8.505128264895887e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.5,0.5,0.5,0.5000000000000001,0.6612464486489753,0.5321483755464653,0.06442277032559626,322,0.5005847953216375,0.5,0.5,0.5000000000000001,0.6595100954570443,0.5320189781557364,0.06374596101337869
5,0.6860467910766601,0.4046055728460275,0.0023569583892822264,0.0001474532388509431,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.5,0.7210639827462257,0.7120576723380462,0.5000000000000001,0.6046968506316872,0.6076143481714288,0.0969396465992828,252,0.5,0.7206750817085541,0.7045625305233104,0.5000000000000001,0.6168549152881204,0.608418505503997,0.09531582253704785
6,0.5631930351257324,0.4006264178251071,0.0025605678558349608,0.0005293926017816801,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.7269949676491733,0.49999999999999994,0.5,0.7423990212987848,0.49510366922565424,0.5929201361207099,0.11589107881074813,261,0.7469764704409133,0.4994152046783626,0.4993657412625067,0.7301904493854958,0.48962591833674846,0.5931147568208054,0.11894670747089164
7,1.0261255741119384,0.4385913917684554,0.002550077438354492,0.0002841660385662854,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.7395758447160315,0.6759525521207764,0.7496405463695183,0.7304861417512335,0.5000000000000001,0.6792682127488759,0.09302608557693903,190,0.7102589628961771,0.7042538537636025,0.751980414991798,0.7476999093098163,0.5,0.6828386281922787,0.09341094483069663
8,0.5055683612823486,0.2349665071501561,0.002791595458984375,0.0006992990375868728,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.6840202891604761,0.5033349309050243,0.5,0.7556154987766236,0.7612484635999113,0.6406848821225102,0.11685623073051825,227,0.6783544335499706,0.5115562818538137,0.5,0.7631391312505864,0.7752467639562197,0.6456593221221181,0.11904927087179085
9,0.8689513683319092,0.46232084045837085,0.002698183059692383,0.00035406846349819113,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.7846872753414809,0.49999999999999994,0.5,0.7883257791504553,0.7601704648491808,0.6664986812498754,0.13644102866006078,206,0.7991916801282292,0.5,0.5,0.8111955467992619,0.7904917786995852,0.6801758011254153,0.14725977505195845
10,1.2977352619171143,0.33005110515612535,0.0030013561248779298,0.0004914670768332275,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.8226096333572969,0.7249580637431104,0.783429187634795,0.8180377842846255,0.7816397670716717,0.7861246446359249,0.03499763425131365,127,0.8078559174524463,0.7459458782573851,0.7748425310242059,0.8124714638646527,0.7886888400219901,0.785960926124136,0.02414317102689192
