,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.1293027400970459,0.009643160840824106,0.0017213821411132812,0.00016266934664558043,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.7118566176470589,0.7637867647058822,0.7784926470588234,0.6824448529411764,0.8787878787878789,0.7628371180225204,0.067322451752347,361,0.742288773148148,0.7750144675925927,0.7676070601851852,0.7917824074074074,0.7542509191176471,0.7661887254901961,0.017021521048279174
1,0.10683174133300781,0.007159421325224917,0.0015080928802490234,0.0001142780416464403,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.9315257352941175,0.9315257352941175,0.9177389705882353,0.9108455882352942,0.9921875,0.9366513668350775,0.02876593410976571,143,0.9525896990740741,0.952589699074074,0.9412760416666666,0.9319155092592593,0.922909007352941,0.9402559912854029,0.011625512379198486
2,0.16703805923461915,0.03169399553158344,0.00245361328125,0.0020257408873670707,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.8805147058823528,0.9030330882352942,0.9324448529411764,0.9333639705882353,0.9467329545454546,0.9191616464628238,0.024042397751354926,229,0.9290219907407407,0.9214120370370371,0.9416811342592593,0.9249131944444444,0.8907398897058822,0.9215536492374727,0.016862302052776525
3,0.14514036178588868,0.015553268095687871,0.0017045497894287109,0.00028253688469435603,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.8864889705882353,0.9324448529411764,0.8667279411764706,0.9627757352941178,0.9770359848484849,0.9249884775670818,0.04256704494437262,212,0.9490885416666668,0.939525462962963,0.9290219907407407,0.9011429398148147,0.9341681985294117,0.9305894267429192,0.01615196614543073
4,0.10019373893737793,0.004218294983703559,0.0014548301696777344,7.639877746468162e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.8828125,0.90625,0.921875,0.9609375,0.9614109848484849,0.9265861258288405,0.030796016090972413,202,0.93359375,0.927734375,0.92578125,0.916015625,0.947265625,0.930078125,0.010290578025249603
5,0.12639775276184081,0.028530988798303732,0.0016266345977783204,0.0003661959304814268,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.8511029411764706,0.9177389705882353,0.7715992647058825,0.7421875,0.9770359848484849,0.8516770978004513,0.08763308718978242,340,0.8438368055555554,0.9231626157407407,0.8067997685185184,0.8159577546296297,0.9196920955882352,0.861889808006536,0.05013190260306441
6,0.08375315666198731,0.003952517765426552,0.001615762710571289,0.00029173757004830335,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.8943014705882353,0.9471507352941175,0.9471507352941178,0.9177389705882353,0.9921875,0.9395985579814748,0.032839364255323855,104,0.9569010416666666,0.9391203703703703,0.9391203703703703,0.9502314814814814,0.928079044117647,0.9426904616013072,0.009977897476957839
7,0.10066790580749511,0.014926149157007008,0.001778411865234375,0.0003249495461553666,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.9462316176470589,0.9177389705882353,0.9168198529411766,0.9618566176470589,0.9770359848484849,0.9438689208486891,0.02382514326766749,77,0.9582465277777779,0.9338686342592593,0.9580439814814814,0.9504340277777779,0.9337086397058822,0.9468603622004357,0.01103849620109548
8,0.15277690887451173,0.012118658450326754,0.00176544189453125,0.00037229875771865,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.9099264705882353,0.9402573529411764,0.8814338235294117,0.903033088235294,0.9315814393939394,0.9132089400409727,0.020948410490747586,240,0.9529947916666666,0.9157552083333332,0.9305700231481482,0.9251157407407407,0.8794806985294116,0.92078329248366,0.024013815949109934
9,0.15649213790893554,0.02641173514859813,0.001883077621459961,0.0008223933261405646,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.9237132352941175,0.9375,0.96875,0.96875,0.984375,0.9565608835558763,0.02240664354739393,29,0.9674045138888889,0.953125,0.94921875,0.94921875,0.9572610294117647,0.9552456086601306,0.006768218803730379
10,0.14399824142456055,0.01855630775750674,0.0020018577575683593,0.0007591312344672398,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.8069852941176472,0.9030330882352942,0.903952205882353,0.7794117647058822,0.8636363636363638,0.8513787277320299,0.05051121712743385,344,0.8976417824074074,0.8845775462962961,0.8843749999999999,0.7997974537037036,0.883157169117647,0.8699097903050108,0.03545329754030722
