,0,1,2,3,4,5,6,7,8,9
2,0.9543916751534143,0.925720648359613,0.9497969965155743,0.9456839299090534,0.9436858919023566,0.9348974435076488,0.9495605999948877,0.9417081129411723,0.9466609519816477,0.9465803251534475
3,0.9171174118565475,0.9206617880087925,0.9104283157493411,0.9155129189056332,0.9156534997588934,0.9129531734671874,0.9164810637092001,0.9070304322641782,0.9063015254346922,0.9132421484936112
4,0.8875458336297629,0.8880808913249407,0.8888177214521148,0.8819286630831887,0.8943116282221723,0.8871248997675825,0.8833581150120501,0.8952862634138128,0.8991072701320008,0.882615084868942
5,0.8349085791722175,0.868952440409834,0.8695675607078762,0.8631542829062071,0.8602746780410083,0.8743365624805522,0.8567298322545407,0.8576929785328611,0.8594243317118078,0.8486727263699492
6,0.8304094842952453,0.8625438957758007,0.8338668625211858,0.8168225939171851,0.8277436853912887,0.8361243348308068,0.8351100374684578,0.8112381789315823,0.8370802681678949,0.8363183779622567
7,0.8096345448204647,0.7951323404575835,0.8232571021689069,0.8149264871561448,0.8095446740565211,0.8402451804188612,0.798893149713316,0.8026220876002497,0.8075112791892612,0.7982261823431873
8,0.779644192791501,0.7767023423954679,0.8002291653770366,0.7770805023766871,0.7755213704136829,0.79047128818229,0.7748433760051086,0.7694733496179341,0.7740735890814647,0.7924910453551309
9,0.7535855973184471,0.782962862480225,0.7578910840647823,0.7254774663332774,0.7596999392779353,0.7468128655339166,0.7523548787751351,0.7349559718161057,0.7444544003613393,0.784555463399807
10,0.7275956196944591,0.7113547815584639,0.7280427996244904,0.6953728617268621,0.7182564120524985,0.7241919516177748,0.7432626156209863,0.7322396354864835,0.7065505807510563,0.7438241314884645
15,0.5831231213789434,0.5722794056586881,0.5688714662219714,0.5709537120796399,0.5870633808357265,0.556576566267764,0.606868045956092,0.570722079775124,0.5669963773734821,0.6068635258202744
20,0.4552765588184674,0.4774599382362149,0.4433867985589842,0.4500493898234049,0.4445392289645324,0.43776395621078046,0.4504243155604515,0.42521652772291435,0.4414670013908815,0.5047453149920836
25,0.30427819391814703,0.3106510916599217,0.31687789904606184,0.30174258692090483,0.27909032635031017,0.30862466272677397,0.30342139618833397,0.30358358446902056,0.30668469593614245,0.31416181722837166
30,0.17370642846114667,0.1521313321067876,0.16809053106639316,0.18638440147276916,0.17684018482814384,0.17226671487893785,0.15587904279066184,0.14719817444074465,0.17550703197084055,0.1778826388889663
35,0.026375615576628077,0.02409044227583098,0.041132477116207836,0.0257561131891052,0.02773648760765626,0.025275486299815915,0.021115861765510825,0.027777777777777016,0.039069206530662086,0.050501160114167255
40,9.206154998044798e-30,1.0325977249301742e-29,1.1500228908278107e-29,1.4471064332128827e-29,8.856728593744634e-30,1.2578232292569963e-29,2.0694163099908432e-29,1.0217923189610344e-29,8.783895506883093e-30,1.4060724466431026e-29
45,4.2568327816245856e-30,8.679537960342398e-30,6.990788491933491e-30,6.44372269060533e-30,5.6525707476629325e-30,8.164448298195622e-30,6.945263788669737e-30,8.681920798524279e-30,1.4258048576492166e-29,4.877832334580406e-30
50,4.8690321351773065e-30,4.818094387693263e-30,5.792573740730508e-30,3.448330051524471e-30,4.562562001416422e-30,3.325281193237391e-30,8.477872127311867e-30,6.542606729602064e-30,1.0155227095538287e-29,6.867819864435272e-30
55,3.6970059093029384e-30,3.495203397204373e-30,4.841680321479022e-30,3.673984265493505e-30,4.0205199416360494e-30,4.336027421156802e-30,4.7033635245359066e-30,7.44736759577362e-30,7.071044161007542e-30,6.445431443591172e-30
60,4.130837468239584e-30,6.851705583037311e-30,4.100219919404012e-30,5.955161466868477e-30,9.930217777502398e-30,6.877434717443259e-30,4.2841959808483176e-30,7.901772439271768e-30,5.473663655384783e-30,7.286545317823959e-30
