,0,1,2,3,4,5,6,7,8,9
2,0.6648931826535394,0.6204044745789339,0.46955411307727085,0.5756769123616803,0.4437491828510245,0.39619726294416463,0.4580833260286837,0.3695564663161435,0.6770708173208256,0.4541008684833445
3,0.6041006925021281,0.6332914685809397,0.5336484388694455,0.6270935626810201,0.588969570821594,0.4855965927265951,0.4508630887575758,0.34375936344776514,0.6948852726934328,0.5865474453712681
4,0.6755417385713928,0.6227631670101645,0.5476657619133362,0.7863295937207796,0.6935878092064878,0.5791896455791615,0.5236657059340822,0.48892234077963415,0.7124953613516232,0.7011209885846177
5,0.6792023360905848,0.6170804078179035,0.5744482142443356,0.7816671560774676,0.7625495566225279,0.6500115962665156,0.5502463792740206,0.506486008975015,0.7705908169806824,0.7202172859721052
6,0.6478822053432743,0.5873622603312774,0.6013719902014025,0.8197321658241994,0.738484735914595,0.6703256935118258,0.6527534907901494,0.5770619008188574,0.800657528714408,0.7408239874264784
7,0.7089170097495937,0.7313093058029079,0.6034329376037356,0.8144593837477011,0.7758907202524207,0.6809530181122183,0.6363857423796843,0.604284475682255,0.8078426333804442,0.7575545857730167
8,0.7358710779806246,0.7599567297293741,0.6509572290597976,0.826233856859454,0.8045326703810709,0.7007004568437154,0.556759589891175,0.628985568119231,0.8014750581672395,0.7569432719416241
9,0.7641070190905741,0.7311415004260015,0.71527119692612,0.8132190010035902,0.8450641766158716,0.6472423713824844,0.7644423866270408,0.6706174665991841,0.8245523613598202,0.7792657116802032
10,0.7716067593855596,0.7976983998536794,0.7186284490146349,0.8643825805193642,0.8462971561039205,0.7428242036293696,0.7752995592503742,0.6349872740221323,0.8178100529215416,0.8057645717706279
15,0.8114951828906802,0.8087097124187045,0.8137805816833502,0.8762226752221016,0.8448675509746734,0.8296970914704886,0.8561746433718219,0.72572273860133,0.8395225578735843,0.8817979513592354
20,0.8620622112345029,0.8355462876487163,0.8526915777455931,0.9002112784701016,0.8647317787865889,0.8432678077510564,0.872776263317243,0.7885188509863523,0.9147560193159775,0.8983219247993892
25,0.9067972130291776,0.8800647269407584,0.8585760047622164,0.9224376578653851,0.8975389331537337,0.8641149606881797,0.909192323661572,0.846416546343477,0.9087609357296398,0.9116689758777775
30,0.9141392565677325,0.8902219831762646,0.8967790997531283,0.9185663585152082,0.9172685314003626,0.8739478425406515,0.9074417500881615,0.8755163316023732,0.9261577110564599,0.9078878407521735
35,0.9531380190684312,0.8929025985956426,0.9123079480244122,0.9261698018046095,0.9123179920173284,0.8876917026829974,0.9300431630244912,0.890752666074823,0.9295251298282354,0.9039436364202692
40,0.9391394634677226,0.9138843559588176,0.9160286408501247,0.9192119856348052,0.9285292029313166,0.8940528407783747,0.9472480434202727,0.9267168908618074,0.9328296183535005,0.9202583218204149
45,0.9492280145733011,0.9179698833799006,0.9307961817655535,0.9351271818248738,0.928040171458173,0.9058458354153816,0.9547879440534878,0.9397971378537869,0.9428169186758443,0.9164905780058679
50,0.9643273106921174,0.9174675919797021,0.9443618689799763,0.9572082373533112,0.9295273029255936,0.9016073577673996,0.9591413583545467,0.9272021180518113,0.9418330261882063,0.9212970072573055
55,0.9557145390419952,0.9416614231674634,0.95356272076667,0.9560748214216503,0.9424744988038832,0.933924823645161,0.9612696253682855,0.9449824496967426,0.9444966871314021,0.9305065299140123
60,0.9648061381100643,0.9555049151316822,0.9658259356378228,0.9585415989960249,0.9427246679462938,0.9364879954045113,0.9602350187379832,0.942011948515877,0.9496206426037332,0.9434568073786342
