,0,1,2,3,4,5,6,7,8,9
2,0.6387089576391988,0.8947823638535918,0.7690025168129736,0.5866420321863577,0.8411848182034143,0.7233694739243165,0.8352602596690893,0.7777777777777776,0.9309086772685569,0.7787997402443997
3,0.5401999157310159,0.667242985638952,0.6766387507444456,0.8184830412858164,0.6950263566204978,0.603382473934982,0.7551018721127053,0.6666666666666663,0.6314779763885902,0.7889228772466846
4,0.6621585895394198,0.5518875654861342,0.6163417765217263,0.4695963495308577,0.567865198961251,0.446335800101596,0.5695409766154305,0.40845059592880806,0.4764010809238816,0.569530648924128
5,0.528163075236394,0.47457105283065215,0.34621805271952405,0.49226479639404963,0.6634795334044259,0.32413172241300003,0.32971364552775473,0.5580874228742796,0.7322057860180996,0.6467239106438765
6,0.4068844652906285,0.3445915365996202,0.4300777248294181,0.4346532212379039,0.34930798500402466,0.13782033797368112,0.27277021395405227,0.23614152401713856,0.3475356056273738,0.3310102409583761
7,0.3553393511049396,0.1599505194526767,0.2698121655477627,0.24007213944269923,0.40878155311690373,0.08637917780990925,0.24941382191679207,0.48915841081368894,0.34371324304626333,0.3611651118607804
8,0.07171292714532283,0.11111111111111091,0.1746322788966821,0.0835480102489462,0.33959620728640094,0.14477835458472263,0.13321857244357352,0.3408872614031478,0.32151985266284344,0.14306887209357305
9,6.70604828470014e-30,0.11111111111111145,0.05530515463072434,3.44653271539211e-30,0.43706677808472516,0.05517152085886497,2.5060292403241258e-30,0.0381900012864407,0.15711756585532693,0.11111111111111148
10,1.6647893497485057e-30,0.11111111111111088,1.403931380870943e-29,1.8502769820923e-30,0.2545435329965522,1.8943904216908762e-30,3.45633570318516e-30,0.03697792477924564,1.3814938755438767e-30,1.2050537767945742e-30
15,1.892676613171686e-30,6.005234915749462e-31,1.1109196512257918e-30,8.224291132370223e-31,4.4656279026066065e-30,1.3459098658442513e-29,9.359804750488283e-30,1.2758497448524305e-30,5.432001129563611e-30,1.2232194765945145e-30
20,1.7034498374551124e-30,5.197723165294108e-31,5.423239554144858e-30,9.706151850281646e-31,1.3919452530506049e-30,1.8280428373370718e-30,3.8046424953642805e-31,1.6653541644794695e-30,1.059745582356819e-30,4.908659295552892e-30
25,2.086688936145999e-30,8.965326176296142e-31,1.2790274465246709e-30,7.840236377075803e-31,1.4869759857650574e-29,8.51851321213644e-31,8.097866970818311e-31,7.2338818020604905e-31,6.127590394394619e-31,5.718152391977522e-31
30,1.2014843796565369e-30,8.554106026792499e-31,9.287027486376257e-31,6.40023951311326e-30,3.456614407943759e-30,7.751958421049195e-30,5.9578317786547374e-30,5.483247811237361e-31,5.473547835916562e-31,4.299107258637032e-30
35,9.905640397895452e-31,5.478779458755581e-31,9.543253168160002e-31,9.559883049189544e-31,6.69115654341108e-31,2.922453367219171e-30,5.597030917333563e-31,5.306464257579629e-31,5.215973393250169e-31,4.923237908437759e-31
40,3.9156038567214616e-30,9.344489928071655e-31,1.0243096919070164e-30,1.0730167681699398e-30,4.5760061358588385e-31,5.201716941352488e-31,8.646735938058601e-31,4.1171027933751485e-30,7.30098310384065e-31,4.592242285843508e-30
45,6.753483478917386e-31,4.733809858600805e-30,5.9401301361822995e-31,1.5642676344804577e-30,8.901914551334323e-31,7.060633066679737e-30,4.977192022418661e-31,8.78341292234452e-31,4.7732301239747265e-31,1.1648593137576703e-30
50,4.6113228085209495e-30,5.4443600491099664e-30,4.10862251351416e-31,2.6706834962338374e-30,5.325308994968719e-31,1.5524016635355843e-30,9.840892470314585e-31,1.5816176838307803e-30,8.233471696561573e-31,6.632240402868452e-31
55,4.625866739295699e-31,5.156770794696967e-31,1.1182505441316189e-30,6.457947154906641e-31,5.067474543828119e-30,5.054987806736591e-31,7.760251158914276e-31,1.920035851671856e-30,8.380963376740012e-31,2.168310688771503e-30
60,1.2252608738559102e-30,5.444078032176346e-31,4.513521947253588e-31,3.7920407907905795e-31,2.332034129140303e-30,5.907260176917574e-31,7.425327398626863e-31,4.298224834082577e-31,4.707628285673124e-31,6.836471111255807e-31
