,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.33675484657287597,0.06753702277081773,0.002964639663696289,0.00012617210321476797,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.6579798705966932,0.6605160156562027,0.6433620896237718,0.6565320283983797,0.6037195994277539,0.6444528972872601,0.021178150125337667,365,0.6519979463290634,0.6490827353895089,0.6548812251900272,0.649638802889577,0.6201259433255034,0.645145330624736,0.012676041772439956
1,0.37683687210083006,0.06391298226776738,0.0026062965393066407,0.0003110757345061021,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.7103203131240514,0.6831416247304097,0.7120576723380462,0.6650154426216358,0.6625259424933003,0.6866433878275039,0.02129582262243998,325,0.6940712774083676,0.7009811287676723,0.6904548129781986,0.6654032585921132,0.6894478734569442,0.6880716702406593,0.01203394861959633
2,0.40604400634765625,0.0949781163234138,0.002735280990600586,0.00016070654506943147,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.7403546609154085,0.7055076284048247,0.7228013419602204,0.7314889093899162,0.6994801426585261,0.7199396481612153,0.015392479717493248,265,0.7184028951751257,0.732839325293963,0.7178325005948132,0.7419207555430466,0.7326146983857263,0.728722034998535,0.009288463143705005
3,0.6014282703399658,0.31380367157248384,0.002639579772949219,0.00013100838636874231,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.7525760843517852,0.7400950555156163,0.7318875309529514,0.7812261842685813,0.7267021298031393,0.7464995703119239,0.019428927569773994,236,0.7612469789749178,0.7400691235583607,0.7345179508371216,0.7678081120805579,0.778546529061922,0.7564377389025759,0.016671061488167455
4,0.732572364807129,0.26865139707802016,0.003252553939819336,0.0005824070467122065,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.6932862049684478,0.6644500359453629,0.6667864845434938,0.70182704263768,0.6701021580124524,0.6792885254973041,0.015263291614653883,347,0.708263521043866,0.6972657375057918,0.699639981466872,0.7358538949870219,0.7426351891648757,0.7167316648336854,0.01886483334198867
5,0.44888734817504883,0.14939509024055145,0.003133535385131836,0.000273028729015353,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.7236600367441489,0.7397555715312725,0.750299544692068,0.7337250812241788,0.6681678051139455,0.7231659995160764,0.02877420627159405,261,0.7306516648509211,0.7570313184817863,0.7303373530185208,0.7057009725740376,0.7294629916537558,0.7306368601158043,0.01624766943765713
6,1.476003932952881,0.7761332575835592,0.008536767959594727,0.004790265739399308,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.7272745426951034,0.7244588225896637,0.7396956625928588,0.7287212707071518,0.5972113079046525,0.7035560374701603,0.05332015378482261,295,0.7554309578371341,0.7257347508671752,0.761302077463466,0.7686524689620665,0.6617222249987504,0.7345684960257184,0.03923329748187814
7,1.4768842220306397,0.4080484678125652,0.0029994487762451173,0.00022914362876502243,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.7869638150011982,0.7633197539739596,0.7942327661953829,0.8016325057157755,0.7947772471740313,0.7881733126736574,0.013275708866951758,207,0.7965964160937676,0.8102533278234846,0.8115130796298383,0.7919160646714828,0.8008246289169872,0.802220703427112,0.007624152701986599
8,1.165491771697998,0.5454912189559662,0.0026070117950439454,0.00011572579466234898,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.7651969007109194,0.7736640306733765,0.7435697739436058,0.7302956158998837,0.7121541840456186,0.7450120082156879,0.022471026870600496,238,0.831459984722692,0.773841992561704,0.7834923676070976,0.7905619664133596,0.782725273626868,0.7924163169863443,0.020230696122992123
9,1.1713456153869628,0.25918552985788795,0.003252077102661133,0.00021557614381086335,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.8867721063982746,0.9074007508586949,0.8929826663471523,0.8903273033572662,0.8641923069173265,0.888355721082017,0.013950450329906378,179,0.9294639167511929,0.9242007588564559,0.9218528119012734,0.9169559370797763,0.883135713928732,0.915121827703486,0.016491840946475853
10,1.9248327255249023,0.3887568720511915,0.003066253662109375,0.0002921404015238464,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.9206805655403786,0.9004513140027158,0.891644700055915,0.8951405880229434,0.8971871284934212,0.901026915429002,0.01024280677364619,165,0.9476508008064417,0.9302146336576631,0.8711678375095483,0.9520092566532196,0.9470756909390774,0.92962364391319,0.030159902387018375
