params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.9601250000000006,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",2.5668130000000007,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.2}",1.3433290000000007,100,5.2976470588235305,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39409306332458277
"{""discount_factor"": 0.3}",1.3577559999999993,100,5.273882352941176,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3909757586210382
"{""discount_factor"": 0.4}",1.3736829999999998,100,5.384784313725492,5.733333333333333,4.9411764705882355,5.733333333333333,0.39321632572394544
"{""discount_factor"": 0.5}",1.4316399999999998,100,5.281803921568629,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39217765435078983
"{""discount_factor"": 0.6}",1.4273240000000005,100,5.321411764705883,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3957614417808552
"{""discount_factor"": 0.7}",1.436444999999999,100,5.361019607843138,5.733333333333333,4.9411764705882355,5.733333333333333,0.3953648473914496
"{""discount_factor"": 0.8}",1.5141219999999986,100,5.321411764705883,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3957614417808552
"{""discount_factor"": 0.9}",1.7466669999999986,100,5.313490196078432,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39536484739144956
